	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101099	0.0391044	0.0196899	0.0108408	0.00629328	0.00355713	0.0019863	0.00108154	0.0005672	0.000279942
d1_1	0.258631	0.025943	0.016487	0.0116825	0.00844245	0.00611848	0.00438485	0.00297441	0.00192627	0.00119867	0.000762344
d1_2	0.0824331	0.0152141	0.0105983	0.00870696	0.00699857	0.00571859	0.00449102	0.00358025	0.00266796	0.00191199	0.00141491
d1_3	0.0348708	0.00994747	0.00777728	0.00672758	0.00590545	0.0051993	0.00448339	0.00381557	0.00314116	0.00232928	0.00222187
d1_4	0.0166179	0.00681019	0.00560508	0.00529115	0.00495843	0.00453416	0.00413777	0.00392333	0.00338612	0.00302362	0.00330648
d1_5	0.00822001	0.00438801	0.00407637	0.00405525	0.00397582	0.00387388	0.00390888	0.00381886	0.00355791	0.00347673	0.0045878
d1_6	0.00402946	0.0027373	0.00285701	0.00304593	0.00306172	0.00325414	0.00345455	0.00352084	0.00361838	0.00389918	0.00615154
d1_7	0.00190953	0.00151973	0.0018946	0.00216945	0.00237914	0.00263226	0.00284757	0.00311542	0.00331621	0.00387822	0.00817521
d1_8	0.000807061	0.000903095	0.00110043	0.00137164	0.00158828	0.0019566	0.00218095	0.00257263	0.00298092	0.0037576	0.0102978
d1_9	0.000314673	0.000370793	0.000516793	0.000728301	0.000983445	0.00119791	0.00150378	0.00193887	0.00240148	0.00344735	0.0131642
d1_10	7.08594e-05	0.000109582	0.000165378	0.000248229	0.000387922	0.000609562	0.000840472	0.00112887	0.00161172	0.00253647	0
