	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101784	0.039931	0.0202277	0.0114253	0.00662698	0.00396176	0.00222148	0.00133923	0.00067499	0.000342065
d1_1	0.266309	0.0241613	0.0156291	0.01107	0.00828812	0.00613896	0.00442472	0.00307839	0.00210421	0.00138607	0.000887612
d1_2	0.0844	0.0142707	0.0102195	0.00820995	0.00681596	0.00545318	0.00439381	0.00347211	0.00262375	0.00198586	0.00160139
d1_3	0.0356805	0.00947005	0.00725805	0.00618625	0.00556469	0.00505885	0.00429655	0.00361738	0.00310656	0.0025527	0.00245324
d1_4	0.0168946	0.00627284	0.00535295	0.0048231	0.00463923	0.00432657	0.00400355	0.0035862	0.00327918	0.00301143	0.00355539
d1_5	0.0083737	0.00430513	0.00389837	0.00373815	0.00368072	0.00365017	0.00361236	0.00348278	0.00345198	0.00336598	0.0045249
d1_6	0.00435732	0.00276151	0.0027061	0.00278167	0.003009	0.00312962	0.00324471	0.00318225	0.00335897	0.00357451	0.00623225
d1_7	0.00210865	0.00172165	0.00185979	0.00204055	0.00225884	0.00257444	0.00273794	0.00284445	0.00314767	0.00366738	0.00809944
d1_8	0.000985331	0.000898585	0.00103653	0.00132904	0.0015	0.00182935	0.00216854	0.00243987	0.00286559	0.0035343	0.0102474
d1_9	0.000379833	0.000425383	0.00054004	0.000739968	0.000933689	0.00122776	0.00146352	0.00179574	0.00234215	0.00314151	0.0126719
d1_10	8.40225e-05	0.000142709	0.000220486	0.000278238	0.000453388	0.000563075	0.000824226	0.00105722	0.0015882	0.00236156	0
