	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101181	0.0396132	0.0200256	0.0111543	0.00641365	0.00381857	0.00215603	0.00110976	0.000612766	0.000295593
d1_1	0.261783	0.0249735	0.0160218	0.0113979	0.00847225	0.00610534	0.00436819	0.00301608	0.00207397	0.00130353	0.000763097
d1_2	0.0823089	0.0148097	0.0106797	0.00842823	0.00696191	0.00574589	0.00450605	0.00354597	0.00255099	0.00195331	0.00150123
d1_3	0.0347202	0.00980703	0.00765659	0.00660996	0.00560167	0.00511983	0.00444165	0.00365803	0.00309411	0.0025286	0.00228783
d1_4	0.0164231	0.00655893	0.00557442	0.00519384	0.00488599	0.00442153	0.00426314	0.00380958	0.00347132	0.0030047	0.00325854
d1_5	0.00827064	0.00447471	0.00392239	0.00402708	0.00398654	0.00390171	0.003865	0.00367178	0.00336393	0.00343621	0.00458751
d1_6	0.00401206	0.00278927	0.00288592	0.00306667	0.00316005	0.00326531	0.00334957	0.0034999	0.00346754	0.00372938	0.00604147
d1_7	0.00203402	0.00169725	0.00186997	0.00203915	0.00234679	0.00262654	0.00278071	0.00309685	0.00334192	0.00378318	0.00789978
d1_8	0.000908862	0.0009511	0.00105573	0.00138278	0.0016179	0.00195028	0.00226512	0.00252137	0.0029547	0.00373164	0.0101935
d1_9	0.000313722	0.000407027	0.000604657	0.000733332	0.000906176	0.00117906	0.00160565	0.00191099	0.0024074	0.00325038	0.012884
d1_10	7.25214e-05	0.000115101	0.000154431	0.000296325	0.000467923	0.00059437	0.000850056	0.00115964	0.00166487	0.00255713	0
