	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0945748	0.0378479	0.0199368	0.0113378	0.00678646	0.00405113	0.00236726	0.0013921	0.000792921	0.000331848
d1_1	0.272452	0.0264912	0.0160348	0.0111502	0.00836412	0.00604114	0.00456534	0.00313406	0.00214755	0.00139304	0.000841937
d1_2	0.0809581	0.015993	0.0107696	0.00809475	0.00679218	0.0055363	0.00435751	0.00354147	0.00272502	0.00211102	0.00144572
d1_3	0.0329681	0.0104128	0.00774265	0.00647826	0.00568364	0.00487042	0.00417128	0.00372891	0.00312649	0.00250115	0.00221031
d1_4	0.0156484	0.00712258	0.00566753	0.00523642	0.00479348	0.00431276	0.00416983	0.00361595	0.00328921	0.00318946	0.00319254
d1_5	0.00770556	0.00465616	0.00419023	0.00393206	0.00393648	0.00386291	0.00375481	0.00358238	0.00356511	0.00355314	0.00433548
d1_6	0.00392968	0.00299051	0.00280702	0.00285449	0.00310997	0.0031443	0.00333948	0.00348619	0.00348146	0.00395727	0.00595674
d1_7	0.00185213	0.00162868	0.00194324	0.00213246	0.00223953	0.00247173	0.00275074	0.00298713	0.00338396	0.00391809	0.00757674
d1_8	0.000807121	0.000971212	0.00106834	0.00136105	0.00154893	0.00187503	0.00219076	0.0023879	0.00303315	0.00393888	0.00988723
d1_9	0.000309799	0.000390378	0.00053357	0.00073012	0.00101487	0.00120996	0.00157524	0.00178562	0.00243146	0.0033768	0.012522
d1_10	7.86172e-05	0.000142663	0.000203478	0.000277051	0.000393192	0.000559826	0.000778092	0.00114867	0.00147418	0.0024879	0
