	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.10092	0.0403331	0.0208488	0.0116028	0.00691422	0.00404061	0.00242995	0.00129387	0.000700497	0.000347499
d1_1	0.270307	0.0236671	0.0153022	0.0112264	0.00837886	0.00616268	0.00446317	0.00322131	0.00203479	0.00133662	0.000868909
d1_2	0.0803711	0.0141342	0.0101089	0.00830814	0.00680896	0.00547333	0.00440501	0.00347432	0.00267666	0.00193064	0.00145621
d1_3	0.0332925	0.00948675	0.00750449	0.00665265	0.0057911	0.00498928	0.00437748	0.00365499	0.0029657	0.00239867	0.00220887
d1_4	0.0158193	0.00634157	0.00573136	0.00510692	0.00475092	0.00438952	0.00408244	0.00375181	0.00328998	0.00280622	0.00313784
d1_5	0.00813916	0.00428048	0.0040514	0.0040861	0.00406125	0.00386502	0.00381902	0.00363717	0.00340808	0.00321851	0.00444591
d1_6	0.00408351	0.00276676	0.0028997	0.00314751	0.00322551	0.0032448	0.0033211	0.00333648	0.00352508	0.00351632	0.00565562
d1_7	0.00207583	0.00168835	0.00188098	0.002145	0.0024176	0.00265043	0.0029036	0.00311167	0.00325777	0.00372429	0.00744095
d1_8	0.000934306	0.000950132	0.00118121	0.00141141	0.00165433	0.00193886	0.00221717	0.00260636	0.00290172	0.0036234	0.00970004
d1_9	0.000359755	0.000424444	0.000560557	0.000827627	0.0010411	0.00129376	0.00156251	0.00194564	0.00239777	0.00316965	0.0122273
d1_10	9.35554e-05	0.000135394	0.000202529	0.000326572	0.000456969	0.000682393	0.000816237	0.00121932	0.0017146	0.0023139	0
