	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0944496	0.037943	0.0198112	0.0114077	0.00663181	0.00398999	0.00235056	0.00134753	0.000754749	0.000342624
d1_1	0.273825	0.0264355	0.0159128	0.0112698	0.00822282	0.00604508	0.00434078	0.0032698	0.00208847	0.00141935	0.000862603
d1_2	0.0816672	0.0158028	0.0105633	0.00836302	0.00676456	0.00535346	0.00440922	0.00351808	0.00268808	0.0020212	0.0015037
d1_3	0.0334695	0.0103387	0.0075403	0.0064734	0.00573406	0.00486716	0.00421131	0.00371686	0.00308138	0.0025845	0.0022602
d1_4	0.0155382	0.00685081	0.00574345	0.00508514	0.00486217	0.00434715	0.00403223	0.00368213	0.00339085	0.00300474	0.00314162
d1_5	0.0076772	0.0045622	0.00415473	0.00387516	0.00390449	0.00392761	0.00375422	0.00355571	0.00359752	0.00354626	0.00441639
d1_6	0.00377287	0.00278132	0.00284197	0.00290578	0.00299088	0.00315678	0.00332378	0.00340066	0.00356405	0.00386425	0.0058357
d1_7	0.00188313	0.0017074	0.00179155	0.00205827	0.00217024	0.00250738	0.00282356	0.00299326	0.00325377	0.00402287	0.00776935
d1_8	0.000848698	0.00087218	0.00107419	0.0013327	0.00157442	0.00179531	0.00213642	0.00248204	0.00294587	0.00385004	0.0100969
d1_9	0.000324991	0.000411781	0.000519562	0.000786568	0.000936286	0.00116949	0.00150174	0.0018077	0.00239233	0.00346105	0.0126579
d1_10	7.53633e-05	0.000120896	0.000180324	0.000265194	0.000372002	0.000562911	0.00076883	0.00108132	0.00147504	0.00239829	0
