	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.103277	0.0418266	0.0217086	0.012409	0.00754793	0.00447024	0.00263263	0.00152203	0.000768338	0.000334582
d1_1	0.258167	0.0260807	0.0160662	0.011333	0.00817755	0.00600499	0.00436912	0.00318868	0.00210071	0.00134739	0.00069331
d1_2	0.0767633	0.0158722	0.0108804	0.00840909	0.0067883	0.00544638	0.00434201	0.00339845	0.00262168	0.00184468	0.00124346
d1_3	0.0316786	0.0107477	0.00814037	0.00694723	0.00594809	0.00509455	0.00414895	0.00359469	0.0029356	0.00227587	0.00175521
d1_4	0.0151935	0.00720458	0.0060972	0.00557292	0.00502494	0.00445825	0.004059	0.0037876	0.00321415	0.00280075	0.00253686
d1_5	0.00757133	0.00481796	0.00440766	0.00438842	0.00409291	0.00394962	0.00385883	0.00372273	0.00341496	0.00321777	0.00372185
d1_6	0.00381758	0.00315432	0.00308752	0.00330924	0.00326519	0.00333847	0.00345296	0.00362524	0.0035102	0.00371836	0.00510524
d1_7	0.00186185	0.00182531	0.00212521	0.0023639	0.0023978	0.00278482	0.00306494	0.0032881	0.00343284	0.00388105	0.00667442
d1_8	0.000940631	0.00108826	0.00131274	0.00149055	0.00179625	0.0021155	0.00239264	0.00268136	0.00313277	0.00386276	0.0086498
d1_9	0.000318991	0.000529058	0.000656772	0.000929501	0.00108757	0.00133797	0.00160913	0.00213493	0.00270529	0.00347694	0.0113052
d1_10	0.000104273	0.00015382	0.000282023	0.000382412	0.000565694	0.000793619	0.000969369	0.00132499	0.00190461	0.00286456	0
