	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.103176	0.0401088	0.0203889	0.0114057	0.00653317	0.00375109	0.00211444	0.00117699	0.000605827	0.000297603
d1_1	0.262044	0.0259241	0.0164905	0.0115312	0.00851951	0.00614442	0.00435018	0.00300787	0.0020781	0.00131738	0.000765041
d1_2	0.0839686	0.0152714	0.0105483	0.00833266	0.00685294	0.00549569	0.00440637	0.00345279	0.00257064	0.00192167	0.00148338
d1_3	0.0349817	0.00998542	0.00759862	0.00636056	0.00578012	0.00492644	0.00428829	0.00363295	0.0030361	0.00249677	0.00226817
d1_4	0.0165528	0.00659145	0.0054656	0.00499944	0.00475905	0.00428722	0.00405491	0.00368306	0.00327211	0.00298456	0.00322539
d1_5	0.00818704	0.00431439	0.00402194	0.0039299	0.00381858	0.00375494	0.00368598	0.00353678	0.00352512	0.00330629	0.00446972
d1_6	0.00401186	0.00272393	0.00271385	0.00289192	0.00299107	0.00310979	0.00331687	0.00333544	0.00335741	0.00358024	0.00596265
d1_7	0.00194456	0.00163518	0.00180393	0.00205115	0.00226528	0.00251679	0.00276269	0.00294232	0.00326219	0.00374421	0.00759328
d1_8	0.000877756	0.000857704	0.00104826	0.00127776	0.00157428	0.00186763	0.00209215	0.00247706	0.00285725	0.00369566	0.0100057
d1_9	0.000291597	0.0004204	0.000545484	0.000722767	0.000960944	0.00119215	0.00150287	0.00189945	0.0023721	0.00315771	0.0122866
d1_10	7.8792e-05	0.000118503	0.000173348	0.000234953	0.00040297	0.000583645	0.00080996	0.00120115	0.0015896	0.00249067	0
