	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0969001	0.0382387	0.0196769	0.0109588	0.00654508	0.00374575	0.00234925	0.00127508	0.000678896	0.000304319
d1_1	0.269967	0.0253165	0.0158059	0.0111293	0.00811982	0.00602606	0.00437547	0.00314458	0.00214837	0.00133208	0.000849359
d1_2	0.0831818	0.0150209	0.010375	0.00832172	0.00677087	0.00549869	0.00448838	0.00361196	0.00271967	0.00196657	0.00156151
d1_3	0.0348205	0.00988443	0.00753016	0.00638561	0.00568787	0.00492775	0.00440653	0.00366454	0.00307373	0.00257069	0.00237751
d1_4	0.0164216	0.00646923	0.00560124	0.00511593	0.00481799	0.00430266	0.00418495	0.0037501	0.00337725	0.00308449	0.00346809
d1_5	0.0082556	0.00431783	0.00395728	0.00381747	0.0038001	0.0037141	0.00364204	0.00357081	0.00349201	0.00344741	0.00486105
d1_6	0.00405506	0.00272694	0.00275684	0.00292868	0.00308907	0.00304886	0.00330072	0.00341333	0.00360107	0.00379965	0.00628787
d1_7	0.00193131	0.001617	0.00180739	0.00197037	0.00226771	0.00246991	0.00275941	0.00301344	0.00330225	0.00392312	0.00820695
d1_8	0.000881582	0.00089505	0.00111424	0.001395	0.00156383	0.0017873	0.00212886	0.00248688	0.00286846	0.00373846	0.0103164
d1_9	0.000323827	0.000404344	0.000554638	0.000712044	0.00088469	0.00112338	0.00141273	0.00178096	0.00235946	0.003275	0.0130734
d1_10	8.13907e-05	0.000121042	0.000194111	0.000284305	0.000386515	0.000559321	0.000747321	0.00105997	0.00157103	0.00243452	0
