ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
20632	7057	35994	6480	9.27173e-05	9.81691e-05	-287694.419	-287470.147
20355	7017	34676	6638	9.51127e-05	1.08156e-04	-287696.610	-287470.147
20675	7696	36563	5978	9.22894e-05	8.05399e-05	-287697.703	-287470.147
20843	7536	35124	6485	9.94856e-05	8.71611e-05	-287697.897	-287470.147
20677	7314	35151	6581	9.52065e-05	9.55172e-05	-287698.941	-287470.147
20921	6715	37665	5730	8.31496e-05	1.08606e-04	-287699.775	-287470.147
21214	7764	33894	6469	1.03162e-04	7.95111e-05	-287704.483	-287470.147
20568	8453	31212	6899	1.10979e-04	6.45912e-05	-287710.331	-287470.147
20559	8373	33929	6074	9.85418e-05	6.15657e-05	-287712.299	-287470.147
21125	8549	30585	7662	1.19526e-04	5.99554e-05	-287716.929	-287470.147
