	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0922205	0.0395497	0.021962	0.0133341	0.00835387	0.0053152	0.00336679	0.00196048	0.00105676	0.000413923
d1_1	0.265511	0.0267978	0.0151464	0.0103915	0.00769015	0.0056282	0.00415106	0.0030732	0.00205814	0.00132441	0.000680565
d1_2	0.0715242	0.0174751	0.0113449	0.00853584	0.00679606	0.00545523	0.0043996	0.00346815	0.00240528	0.00180883	0.00106952
d1_3	0.0291751	0.0117512	0.00879355	0.00716881	0.00622372	0.00519858	0.00445678	0.0036872	0.00299279	0.0022829	0.00166138
d1_4	0.0139518	0.00794585	0.00668547	0.0059112	0.00531863	0.00475082	0.00433223	0.00382639	0.00337869	0.00274787	0.00232621
d1_5	0.00701478	0.00512012	0.00477899	0.00457871	0.00432287	0.00435061	0.00393635	0.00385897	0.00362182	0.00326904	0.00345621
d1_6	0.00343347	0.00321908	0.00344112	0.00342509	0.00357892	0.00357981	0.00360019	0.00370023	0.00386169	0.00381184	0.00477723
d1_7	0.00175356	0.00198788	0.0022223	0.00253383	0.00272166	0.00290527	0.00323024	0.00335981	0.00369726	0.00414373	0.00646281
d1_8	0.000822727	0.00108594	0.0012886	0.00167351	0.00198604	0.0022378	0.00249865	0.0028006	0.0032469	0.00428532	0.00856292
d1_9	0.000325385	0.000527815	0.000729363	0.000984318	0.00114427	0.00147554	0.00173419	0.00219146	0.00272907	0.00391794	0.0114577
d1_10	0.000106661	0.000182412	0.000353289	0.000421769	0.000597885	0.000785862	0.00106267	0.00139398	0.00188951	0.0029086	0
