	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0993903	0.0381846	0.0192569	0.0106603	0.00591832	0.00337254	0.00192414	0.00102793	0.000509573	0.000251875
d1_1	0.25874	0.0250426	0.016198	0.0117669	0.00853521	0.00609493	0.00424754	0.00304529	0.00190826	0.00122494	0.000693778
d1_2	0.0817381	0.0149209	0.0108956	0.0087409	0.00734268	0.00584958	0.00455618	0.00359972	0.00266735	0.00183536	0.00133367
d1_3	0.0344812	0.00969319	0.00791201	0.00689635	0.00604525	0.00550901	0.00455822	0.00386614	0.00309737	0.00255843	0.00220271
d1_4	0.0165615	0.0065461	0.00586591	0.00543259	0.0050449	0.0046955	0.00430175	0.00406472	0.00353089	0.00308516	0.00334936
d1_5	0.00795523	0.00426595	0.00416994	0.00418356	0.00408683	0.00411147	0.0039953	0.00387879	0.00372401	0.00343733	0.00460929
d1_6	0.00401465	0.00274619	0.00285399	0.00316233	0.00320391	0.00339806	0.00352711	0.00365678	0.00378436	0.00382738	0.00651211
d1_7	0.00193364	0.00166306	0.00184754	0.00221215	0.00239818	0.00282181	0.0029398	0.00322084	0.00353594	0.00390185	0.00832311
d1_8	0.000767793	0.00084321	0.00112026	0.00139957	0.00156063	0.00195288	0.00240357	0.00268044	0.0031164	0.00385833	0.0107596
d1_9	0.000290871	0.000379884	0.000504663	0.000784547	0.000959261	0.00123919	0.00155389	0.00195954	0.00248567	0.00336825	0.0134695
d1_10	6.75314e-05	0.000100645	0.000144142	0.000257876	0.000397859	0.000574352	0.00083579	0.00118913	0.00165711	0.00264312	0
