	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.10145	0.0394652	0.0197419	0.0110673	0.00638051	0.00378565	0.00221164	0.00118101	0.000603764	0.000263011
d1_1	0.268022	0.0250027	0.0159557	0.0113434	0.00826773	0.00595732	0.00434691	0.00298842	0.00208416	0.00130962	0.000770961
d1_2	0.0824931	0.0147464	0.0104111	0.00843351	0.00685581	0.00560539	0.00454281	0.00348682	0.00266368	0.00191848	0.00145162
d1_3	0.0338802	0.00984123	0.00757271	0.00652472	0.00571037	0.00499512	0.00433526	0.00373117	0.00297514	0.00242389	0.00220424
d1_4	0.0160345	0.0064387	0.00554649	0.00522978	0.00482746	0.00441342	0.00408749	0.00374965	0.0033341	0.00304256	0.00325673
d1_5	0.00794249	0.00420569	0.0039858	0.00400563	0.00403919	0.00377977	0.00384673	0.00375292	0.00351577	0.00335458	0.00446669
d1_6	0.00399265	0.00282456	0.00275405	0.00289187	0.00304848	0.00321824	0.00334984	0.00348185	0.00350754	0.00369896	0.00595222
d1_7	0.00192258	0.0016024	0.00180067	0.00213304	0.00229812	0.00254183	0.00275886	0.00301577	0.00330848	0.00374967	0.00780974
d1_8	0.000859911	0.000874901	0.00110356	0.0013536	0.00164858	0.00191507	0.0021699	0.00262004	0.00292393	0.00364011	0.0101113
d1_9	0.000290302	0.000404963	0.000550989	0.000669856	0.000879058	0.0011273	0.00147659	0.00178234	0.00237599	0.00327423	0.0128589
d1_10	5.93612e-05	0.00011344	0.000179933	0.00027618	0.000409727	0.000568916	0.000781056	0.00106913	0.00160977	0.00250236	0
