ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
20321	7820	35777	6614	1.04713e-04	7.98803e-05	-285493.821	-285287.679
20133	7858	35124	7261	1.09142e-04	7.34965e-05	-285494.954	-285287.679
20248	8680	33254	7031	1.17395e-04	5.91151e-05	-285495.564	-285287.679
20071	9232	32334	7989	1.22352e-04	5.36627e-05	-285495.695	-285287.679
20159	8728	34361	6435	1.09716e-04	5.51656e-05	-285496.347	-285287.679
20292	9273	33459	7141	1.26496e-04	4.56411e-05	-285497.852	-285287.679
20174	8280	37323	6498	9.69870e-05	6.94844e-05	-285498.243	-285287.679
20297	9276	32556	7141	1.17686e-04	4.76264e-05	-285498.598	-285287.679
20424	6746	37880	6599	9.32993e-05	1.08620e-04	-285505.285	-285287.679
20280	6154	41231	5677	7.64576e-05	1.29312e-04	-285529.088	-285287.679
