	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101731	0.0397521	0.019904	0.0110875	0.00632652	0.00357501	0.00208029	0.0011662	0.00058782	0.000260911
d1_1	0.26065	0.0247849	0.016132	0.0115471	0.00850177	0.00622822	0.00441802	0.00307169	0.00193775	0.00120283	0.000728152
d1_2	0.0815956	0.0143536	0.0107865	0.00847541	0.00697659	0.00583832	0.00445832	0.00354836	0.00259763	0.0018344	0.00145433
d1_3	0.0347009	0.00953443	0.00770432	0.00671444	0.00599065	0.00529951	0.00461585	0.0037564	0.00300796	0.00233509	0.0022092
d1_4	0.0162706	0.00640527	0.00571664	0.00529566	0.00504182	0.00457902	0.00424267	0.00386496	0.00337269	0.00291481	0.00325426
d1_5	0.00801482	0.00427065	0.00425799	0.00420286	0.00408836	0.00406742	0.00392722	0.00378813	0.00365857	0.00336376	0.00435312
d1_6	0.00408166	0.00273548	0.00281002	0.00307722	0.00329445	0.00325492	0.0035137	0.00347258	0.00356228	0.00358451	0.00608821
d1_7	0.00199178	0.00154244	0.00180224	0.00220223	0.00249744	0.00273798	0.00289532	0.00314485	0.00343596	0.00370824	0.0080038
d1_8	0.000925949	0.000881788	0.00107668	0.00135039	0.0016208	0.00202641	0.00221317	0.00260838	0.00311683	0.0035478	0.0102502
d1_9	0.000290229	0.000365481	0.000537827	0.000758239	0.00104771	0.00125524	0.00157605	0.00194531	0.002529	0.00327778	0.0129485
d1_10	6.53145e-05	0.000120998	0.000194553	0.000280444	0.000397596	0.000591358	0.000859978	0.00117126	0.00173656	0.00258237	0
