	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101415	0.0398807	0.0204769	0.0115724	0.00673219	0.00387624	0.00229909	0.00129665	0.000695064	0.00033558
d1_1	0.266087	0.025855	0.016085	0.0113682	0.00837827	0.00606939	0.00434768	0.00312737	0.00207328	0.00140176	0.000813027
d1_2	0.0828532	0.0154365	0.0105203	0.00818212	0.00669732	0.00550702	0.00441452	0.00350558	0.00276677	0.00190052	0.00146717
d1_3	0.0346759	0.0100015	0.00757228	0.006516	0.00553007	0.00493167	0.0042495	0.00361081	0.00307473	0.0024578	0.00220121
d1_4	0.0163586	0.00681981	0.00552872	0.00512583	0.00461273	0.0043971	0.00394512	0.00360143	0.00325424	0.00292903	0.00328625
d1_5	0.00805194	0.00445488	0.00398601	0.00381111	0.00388445	0.00378158	0.00375353	0.00353594	0.00335707	0.00345342	0.00438224
d1_6	0.00408051	0.00271562	0.00272483	0.00277392	0.0029454	0.00316847	0.00315037	0.00343715	0.00337051	0.00367291	0.00582369
d1_7	0.0019137	0.00167364	0.00181679	0.00199078	0.00223047	0.0024754	0.00263286	0.00301938	0.00319632	0.00375202	0.00748729
d1_8	0.000863417	0.00091375	0.00119315	0.00132791	0.0015948	0.00182789	0.00210869	0.00240594	0.00292533	0.00369779	0.00966212
d1_9	0.000319841	0.000459194	0.000548966	0.000734401	0.000875471	0.00116294	0.00155877	0.00179428	0.00235808	0.00319486	0.0121653
d1_10	8.74158e-05	0.000122987	0.000185565	0.000289279	0.00038787	0.000587283	0.000796127	0.00114648	0.00158942	0.00249348	0
