	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.103438	0.0396035	0.0199667	0.0109903	0.00628414	0.00361209	0.00207131	0.00115093	0.000541588	0.000266124
d1_1	0.268393	0.0246098	0.0160223	0.0114769	0.00836083	0.00616708	0.00432267	0.00295581	0.00188118	0.0012365	0.000690505
d1_2	0.0825579	0.0141145	0.0104356	0.00839114	0.00693759	0.0056275	0.0044391	0.00349658	0.00260678	0.00188441	0.00148483
d1_3	0.0342308	0.00929505	0.00746475	0.00655668	0.00587689	0.00503723	0.00443662	0.00377673	0.00296935	0.00247388	0.00229182
d1_4	0.0159786	0.00623336	0.0054027	0.00511942	0.00478637	0.00462888	0.00407677	0.00369235	0.0032914	0.00293949	0.00322504
d1_5	0.00795262	0.00416977	0.00390782	0.00387817	0.00399241	0.00399048	0.00387299	0.00359208	0.0034293	0.0032757	0.00450896
d1_6	0.00398514	0.00274607	0.00272845	0.00293038	0.00310943	0.00330095	0.00333504	0.00334948	0.00345596	0.00360333	0.00595078
d1_7	0.00194385	0.001642	0.00178453	0.00208773	0.00235011	0.00256881	0.00291606	0.00309739	0.00327706	0.00367747	0.00786907
d1_8	0.000908742	0.000831015	0.0010234	0.0013521	0.00153432	0.0018612	0.00221377	0.00256002	0.00296468	0.0035413	0.0102501
d1_9	0.00027352	0.000364699	0.000484026	0.000709788	0.000911993	0.00120847	0.00145468	0.00185834	0.00234624	0.00313144	0.0127061
d1_10	6.1145e-05	0.000104518	0.000194413	0.000276749	0.000393623	0.000566925	0.000785769	0.00114868	0.00152006	0.00237684	0
