ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
18844	7307	31930	7799	1.08867e-04	9.28466e-05	-275538.766	-275382.871
19392	7321	32859	6647	1.09925e-04	9.09120e-05	-275538.906	-275382.871
19121	7877	31572	7727	1.11260e-04	7.65438e-05	-275538.916	-275382.871
19256	6686	35945	6535	9.84506e-05	1.11401e-04	-275541.319	-275382.871
19425	8248	31729	7002	1.19046e-04	7.11907e-05	-275541.583	-275382.871
19411	7821	31280	7419	1.11368e-04	8.60186e-05	-275542.049	-275382.871
18900	8101	29522	8643	1.17964e-04	7.67102e-05	-275542.948	-275382.871
18847	7029	34685	7009	1.02279e-04	1.05299e-04	-275543.099	-275382.871
18823	8512	29684	8782	1.23955e-04	6.86588e-05	-275545.941	-275382.871
18851	8147	30659	9585	1.21258e-04	7.81985e-05	-275546.026	-275382.871
