	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0947463	0.0378465	0.0194931	0.0112231	0.00671971	0.00399633	0.00229056	0.00134849	0.000749628	0.000329636
d1_1	0.273054	0.0266721	0.0160537	0.0114077	0.00817112	0.00611219	0.00437661	0.00317679	0.0021745	0.00136019	0.00083452
d1_2	0.0823787	0.0158671	0.0106289	0.00823749	0.00680906	0.00563785	0.00437683	0.00346599	0.00272918	0.0020561	0.00150914
d1_3	0.0336455	0.0104931	0.00763325	0.00651834	0.00558199	0.0048578	0.00430698	0.00362246	0.0030612	0.00263181	0.00233991
d1_4	0.0155707	0.00687894	0.00560617	0.00510448	0.00473545	0.00457503	0.00400636	0.00365365	0.00341698	0.00303102	0.00328889
d1_5	0.0076018	0.00450287	0.00393727	0.0040083	0.00385139	0.00377029	0.00373778	0.0036864	0.00339115	0.00347049	0.00437881
d1_6	0.00386053	0.00276491	0.00280988	0.00283953	0.00301523	0.00332538	0.00323701	0.00331291	0.00349247	0.00383548	0.00585815
d1_7	0.00187212	0.00169591	0.00175648	0.00201879	0.0022625	0.00249029	0.00271636	0.00306327	0.0033232	0.00399521	0.00786206
d1_8	0.000808495	0.000932803	0.00111858	0.00126915	0.00149885	0.00188702	0.0021753	0.00247398	0.00294394	0.00381632	0.0099198
d1_9	0.00030064	0.000406979	0.000536257	0.000708667	0.0008724	0.00117732	0.0014221	0.00185932	0.00232331	0.00335238	0.0126865
d1_10	7.27444e-05	0.000144207	0.000183236	0.000267145	0.000409292	0.000550216	0.000784098	0.000951217	0.00157055	0.00244004	0
