	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0968022	0.0381225	0.01922	0.0108383	0.00625515	0.00357669	0.00211054	0.00114393	0.000654913	0.000303393
d1_1	0.265365	0.0238319	0.0158069	0.0116221	0.0084566	0.00609839	0.00437618	0.00300798	0.00205729	0.00128148	0.00081877
d1_2	0.0814029	0.0142419	0.010552	0.00851706	0.00701299	0.00578872	0.00463215	0.00357192	0.00265683	0.0019125	0.00151912
d1_3	0.0341638	0.00942958	0.00772264	0.00677926	0.00601342	0.00532296	0.00458442	0.00386478	0.00314446	0.00246195	0.00237827
d1_4	0.0164896	0.00640285	0.00568369	0.00542309	0.0050255	0.00481431	0.00448879	0.00388272	0.00343191	0.00293926	0.00332697
d1_5	0.00824789	0.00426996	0.00404417	0.00426411	0.00416594	0.00397714	0.00402316	0.00398611	0.00360208	0.00344201	0.0047449
d1_6	0.00402912	0.00266358	0.00289515	0.00309506	0.00327545	0.0034888	0.00348939	0.00361554	0.00366602	0.00374803	0.00649601
d1_7	0.00205195	0.00163369	0.00185762	0.00212842	0.00242321	0.00269412	0.0030132	0.00322035	0.00346679	0.0038466	0.00833409
d1_8	0.000905523	0.000899889	0.00108077	0.00135125	0.00165097	0.00192543	0.002301	0.00261936	0.00310947	0.0037049	0.0106888
d1_9	0.000360723	0.000396343	0.000570215	0.000754403	0.000918309	0.00118872	0.00157808	0.00206426	0.00246453	0.00320184	0.0134007
d1_10	9.66677e-05	0.00014339	0.000170377	0.000308934	0.000402557	0.000604173	0.00084987	0.00111913	0.00161479	0.00232244	0
