	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0997526	0.0393426	0.020106	0.0115323	0.0066366	0.00399213	0.0022734	0.00132524	0.000692229	0.000340286
d1_1	0.26868	0.0243602	0.0152787	0.0111452	0.00832854	0.0059806	0.00447395	0.00309333	0.00212322	0.00145692	0.00091808
d1_2	0.0851202	0.0141641	0.0100585	0.00799659	0.00654732	0.00531102	0.00449947	0.00349703	0.00278021	0.00202531	0.00174807
d1_3	0.0355881	0.00927293	0.00717817	0.00612849	0.00541812	0.00485376	0.00429724	0.00362029	0.00307834	0.00254843	0.00259171
d1_4	0.0172749	0.00630189	0.00531232	0.00480826	0.00452168	0.00421708	0.00396365	0.00359882	0.00330735	0.00305502	0.00366815
d1_5	0.00880863	0.00424628	0.00384684	0.0036528	0.00361811	0.00359782	0.00353728	0.00341233	0.00334702	0.00346549	0.00504367
d1_6	0.00439825	0.00276687	0.00274544	0.00282902	0.00299161	0.00303645	0.00308737	0.00323719	0.00333351	0.00364234	0.00637715
d1_7	0.00212174	0.00163844	0.00182819	0.00199264	0.00226412	0.00246537	0.00267077	0.00287828	0.0031239	0.00361746	0.0081581
d1_8	0.000993292	0.000893234	0.00111329	0.00125893	0.00156667	0.00173655	0.0020148	0.0024062	0.00285319	0.00348324	0.0102415
d1_9	0.000355732	0.00042804	0.000533771	0.000748604	0.000926261	0.0011351	0.00151071	0.00185318	0.0022047	0.0032172	0.012994
d1_10	9.25881e-05	0.00012942	0.000202092	0.000279424	0.000419056	0.000549753	0.000868963	0.00105013	0.00161423	0.00236078	0
