ll	theta	nu1	nu2	T	m1	m2
-987.9965682708281	14453.406290989507	1.5479321456784758	0.41140086025523076	0.35781843467036256	2.371090690626245	1.4102895204742065
-988.0770615127072	14444.310630766206	1.5549514444885428	0.40962186649654886	0.3576271463602635	2.354449368073606	1.4238642811944864
-988.1459457747103	14388.200138329841	1.536089360685893	0.41551047206439506	0.3730144704493435	2.375871020287249	1.4062756560642584
-1061.0083927619528	11187.236732681875	1.6542952733305265	0.4856071713384213	1.973290343521519	2.0880501102054874	1.413040493848738
-1062.5034705531966	9620.541713372691	1.9163423477841244	0.565934079485661	2.780497988384731	1.805794060842336	1.2060006682332267
-1062.9802484360741	8504.138032132809	2.1701035000385627	0.6407574713764485	3.458784215006501	1.601162267345161	1.0608477534863965
-1539.385354923252	13936.23601446321	1.845252281617859	0.5706455471597772	0.2762589189514383	1.512232350667898	0.02790688445691808
-1552.5250065089963	15697.072146381137	1.9808455812392602	0.3312000724009993	0.11875595931319659	0.011631003005948423	0.8227048674225378
-1634.891318436878	15725.894059068243	1.8426601419537574	0.35408454266961503	0.11763086830614503	0.008639281173852077	0.4136384517946828
-4424.259570058795	13364.919708412235	1.6416166230243772	0.6977292263503312	0.27331772818543065	0.01241885054459842	0.15064226675610626
