	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101874	0.0392158	0.0196905	0.0107886	0.006147	0.00353521	0.00192863	0.00107682	0.000554163	0.000276657
d1_1	0.273729	0.0248533	0.0157582	0.011417	0.00825352	0.00597003	0.00425422	0.00291171	0.0019666	0.00118552	0.000773151
d1_2	0.0829249	0.0142839	0.0105806	0.00843731	0.00683238	0.00560227	0.00442697	0.00343661	0.00261197	0.00188203	0.00141438
d1_3	0.0337816	0.00935795	0.00740069	0.00650964	0.00562599	0.00506009	0.0042757	0.00371213	0.00296618	0.00233867	0.00229031
d1_4	0.015787	0.00618604	0.00553223	0.00508426	0.00464913	0.00443035	0.00412512	0.00366844	0.00335134	0.00301005	0.00335259
d1_5	0.00796898	0.00414467	0.00385172	0.00392874	0.00396307	0.003939	0.00380875	0.00369604	0.00341202	0.00341321	0.00473747
d1_6	0.00387536	0.00262192	0.00272228	0.00282326	0.00303211	0.00316954	0.00324649	0.0033989	0.00353156	0.00358946	0.00616548
d1_7	0.00183959	0.00149724	0.00166343	0.00198363	0.00220963	0.00252221	0.0026727	0.00303119	0.00332899	0.00376201	0.00805652
d1_8	0.000783148	0.000842539	0.00100224	0.00125655	0.00153193	0.00185791	0.00208133	0.00248535	0.00298722	0.0035654	0.0104001
d1_9	0.000295263	0.000340335	0.000490872	0.000686067	0.000889652	0.00111636	0.00141184	0.00181409	0.00221568	0.00316077	0.0129459
d1_10	7.50413e-05	0.000101095	0.000163738	0.000225445	0.00037863	0.000519555	0.000761482	0.00102884	0.00150172	0.00238833	0
