	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101047	0.0395549	0.0202474	0.0112829	0.00651091	0.00381098	0.00222288	0.00128283	0.000655631	0.000290435
d1_1	0.266712	0.0245485	0.0157584	0.0113387	0.00835377	0.00613419	0.00448852	0.00313639	0.0021102	0.00134094	0.000813946
d1_2	0.0822476	0.0144093	0.0104287	0.0083012	0.00672209	0.00559712	0.00452696	0.00342622	0.00272466	0.00197654	0.00148495
d1_3	0.0342707	0.00966791	0.00745773	0.00655653	0.00567912	0.00508178	0.00436204	0.00357282	0.0031119	0.00249325	0.00231294
d1_4	0.016344	0.00653306	0.00552419	0.00511067	0.00471727	0.00443531	0.00410314	0.00362717	0.00326724	0.00306428	0.00325473
d1_5	0.00823635	0.00431939	0.00400575	0.00396918	0.00390582	0.00395264	0.00368286	0.00358715	0.00337402	0.00335459	0.00449708
d1_6	0.00408053	0.00281553	0.00276956	0.00284162	0.00318244	0.00318776	0.00331465	0.00342391	0.00341053	0.00370052	0.00595275
d1_7	0.00202986	0.00167941	0.00187565	0.00200947	0.00233341	0.00259566	0.00274579	0.00306919	0.00325677	0.00373912	0.00778356
d1_8	0.000892544	0.00089527	0.00113804	0.00131285	0.00167296	0.00197873	0.00218897	0.0025826	0.00300317	0.00368059	0.0100567
d1_9	0.000336906	0.000399767	0.000547479	0.00076681	0.000976767	0.0012787	0.00153347	0.00191334	0.00237625	0.00322631	0.0128099
d1_10	6.4055e-05	0.000130706	0.00019976	0.000285012	0.000403589	0.000586393	0.000820935	0.00116622	0.00164817	0.00240992	0
