ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
18965	8406	32608	6886	1.04045e-04	6.47809e-05	-274722.832	-274505.122
18876	8240	31360	7491	1.11524e-04	6.29408e-05	-274723.622	-274505.122
18486	8081	32791	7612	1.02712e-04	7.46570e-05	-274724.893	-274505.122
19219	8761	31632	7415	1.11753e-04	5.64528e-05	-274728.861	-274505.122
19177	8321	36017	6095	9.57470e-05	6.34325e-05	-274729.111	-274505.122
18869	8346	33607	6667	1.02113e-04	5.95098e-05	-274729.536	-274505.122
19117	8837	33045	6258	1.05108e-04	4.79626e-05	-274730.700	-274505.122
18965	8933	30753	7553	1.16036e-04	5.26178e-05	-274730.730	-274505.122
19282	7112	36881	6248	9.65381e-05	9.69051e-05	-274732.588	-274505.122
19163	7243	39520	5599	8.65096e-05	9.11143e-05	-274743.138	-274505.122
