	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.10363	0.0400403	0.0203398	0.0114461	0.00651969	0.00372154	0.00208539	0.0011669	0.000579004	0.000300313
d1_1	0.266305	0.0244401	0.0158355	0.0115031	0.00849625	0.0061297	0.00434638	0.00314173	0.00197198	0.00129442	0.000734663
d1_2	0.0820154	0.0141263	0.010411	0.00832003	0.00681054	0.0057059	0.00446141	0.00341904	0.00269358	0.00185199	0.00144242
d1_3	0.0338615	0.00940497	0.00746897	0.00670781	0.00570821	0.00513751	0.00421499	0.00373421	0.00301143	0.00238382	0.00204649
d1_4	0.0162126	0.0064157	0.00545751	0.00515676	0.00480065	0.00463888	0.00406305	0.00372673	0.00329721	0.0029034	0.00328208
d1_5	0.00801636	0.00421983	0.00405997	0.00403769	0.00397692	0.00389381	0.00376903	0.00365688	0.00343152	0.00328796	0.00437932
d1_6	0.00404005	0.00274243	0.0028222	0.00301221	0.00310366	0.00336837	0.00326095	0.0034243	0.00343182	0.00361103	0.00604897
d1_7	0.00184493	0.00163933	0.00182845	0.00217786	0.00227713	0.00258233	0.00282758	0.00312138	0.00325445	0.00366777	0.00771438
d1_8	0.000911241	0.00085945	0.00114109	0.0013236	0.00160772	0.00194086	0.0021949	0.00251934	0.0029379	0.0035235	0.00992971
d1_9	0.000327176	0.000413262	0.000526896	0.000812309	0.000964045	0.00124666	0.00162012	0.00192822	0.00229596	0.00325899	0.0123663
d1_10	8.05735e-05	0.000113975	0.000194395	0.000260658	0.00041494	0.000614426	0.000904089	0.00120744	0.00161957	0.00249012	0
