	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0956086	0.0377587	0.0194423	0.0108926	0.00628958	0.00391882	0.00216824	0.00126855	0.000693968	0.000300249
d1_1	0.272227	0.0247713	0.015523	0.0110321	0.0080922	0.00593892	0.00436744	0.00315243	0.00221592	0.00140178	0.000881554
d1_2	0.083622	0.0149111	0.0104195	0.00815887	0.00676714	0.00533315	0.00450974	0.00356007	0.00279659	0.00206685	0.00162935
d1_3	0.0348062	0.00978791	0.00758297	0.00630178	0.00570527	0.00488669	0.00427855	0.003646	0.00311289	0.00265855	0.00242818
d1_4	0.0164931	0.00663413	0.00539156	0.00502069	0.004735	0.00446092	0.00410391	0.0037793	0.00336777	0.00318908	0.00367509
d1_5	0.00805223	0.00422354	0.00399426	0.00381383	0.0038685	0.0036975	0.00377109	0.00356155	0.00362866	0.00349011	0.00475018
d1_6	0.0042667	0.00284131	0.00269721	0.00291912	0.00299119	0.00316519	0.00330318	0.00342269	0.00348253	0.00380158	0.00653037
d1_7	0.00188573	0.00171203	0.00175705	0.00195174	0.00221515	0.00241829	0.00277922	0.00288504	0.00332682	0.00389388	0.00853574
d1_8	0.000907471	0.000913299	0.00110299	0.00130409	0.00153716	0.00171221	0.00210991	0.00246337	0.00296694	0.00386756	0.0105475
d1_9	0.000321957	0.000423956	0.000543693	0.000754198	0.000868838	0.00110109	0.00137282	0.00180541	0.00221418	0.00322066	0.0132995
d1_10	6.74444e-05	0.000129009	0.000176038	0.000265967	0.00039041	0.000504568	0.000722146	0.00109041	0.00147937	0.00241806	0
