	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0969289	0.038123	0.0194317	0.0109874	0.00639092	0.0036107	0.00215287	0.0012308	0.000605944	0.000315728
d1_1	0.258165	0.0244418	0.0157821	0.0113005	0.00836385	0.00612483	0.00446025	0.00312333	0.00208466	0.00133329	0.000895331
d1_2	0.0839959	0.014689	0.010447	0.00835519	0.00701277	0.00561689	0.00464314	0.00359009	0.00272556	0.00207347	0.00159164
d1_3	0.0363074	0.00975123	0.00754435	0.00641828	0.00579251	0.00530855	0.00445797	0.00382579	0.0032078	0.00259052	0.00264827
d1_4	0.0173888	0.00648407	0.00551746	0.00506436	0.00473967	0.00462982	0.00424516	0.00383531	0.00348628	0.00306051	0.00373646
d1_5	0.00879802	0.0043503	0.00408004	0.0039408	0.00396525	0.00393527	0.00384291	0.00374221	0.00355169	0.00360043	0.00504717
d1_6	0.00447711	0.00277167	0.00278097	0.00302086	0.00321899	0.00333705	0.00331012	0.00343105	0.00352021	0.0037641	0.00673348
d1_7	0.00221335	0.0016898	0.00189367	0.00211372	0.00232577	0.00269858	0.0028792	0.00295965	0.00337243	0.00396869	0.00871225
d1_8	0.00091775	0.000966786	0.00112423	0.00136612	0.00166169	0.00190804	0.00225329	0.00252221	0.00292315	0.00375473	0.0108384
d1_9	0.000340259	0.000400069	0.000542921	0.000787487	0.000982801	0.00124158	0.00156578	0.00190935	0.00246158	0.00324205	0.0138464
d1_10	7.91434e-05	0.000113177	0.000198272	0.000264548	0.000368891	0.000642736	0.000833496	0.00115398	0.00159279	0.00251559	0
