ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
20738	8383	34708	6025	1.07795e-04	6.05297e-05	-286722.927	-286485.591
20812	9123	31940	6627	1.21347e-04	5.11905e-05	-286725.771	-286485.591
20731	8943	31337	6704	1.15771e-04	5.26950e-05	-286726.328	-286485.591
21038	7878	32398	6870	1.13096e-04	7.94183e-05	-286727.269	-286485.591
20762	8106	32784	6138	1.12099e-04	6.85173e-05	-286728.376	-286485.591
20993	8222	30557	6750	1.21993e-04	6.85815e-05	-286728.732	-286485.591
20932	8086	30537	8263	1.16430e-04	7.59147e-05	-286729.080	-286485.591
20662	9211	28741	8184	1.33316e-04	5.37818e-05	-286729.341	-286485.591
21027	9237	32209	7068	1.25114e-04	4.65905e-05	-286730.546	-286485.591
20611	7134	36007	5941	9.37624e-05	9.59296e-05	-286733.062	-286485.591
