	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.100225	0.0391904	0.020039	0.0114336	0.0066527	0.00396097	0.00225764	0.00123128	0.000700844	0.000315312
d1_1	0.272818	0.0236606	0.0154721	0.0112901	0.00821744	0.00608117	0.00453572	0.00306684	0.00209354	0.00135287	0.000843703
d1_2	0.0821886	0.0139691	0.00986124	0.00812483	0.0069171	0.00555422	0.00450001	0.0034637	0.00273776	0.00191847	0.00153801
d1_3	0.0338435	0.00915837	0.0072163	0.00642563	0.00580865	0.00511168	0.00427962	0.00359103	0.00294807	0.00251879	0.0024808
d1_4	0.0164975	0.00635259	0.005355	0.00494944	0.004785	0.00438655	0.00411947	0.00372424	0.00331634	0.0029343	0.00345497
d1_5	0.00823385	0.00413668	0.00387043	0.00397212	0.00384851	0.00380177	0.00375803	0.00361147	0.00331367	0.00328262	0.00466854
d1_6	0.00420834	0.00271013	0.00283661	0.00292376	0.00312198	0.00316243	0.00335854	0.00331223	0.00339469	0.00363801	0.00627995
d1_7	0.00210795	0.00167947	0.00176523	0.00204341	0.00231539	0.00256246	0.00283396	0.00303279	0.0030961	0.00363402	0.00769709
d1_8	0.000934321	0.000888391	0.00116517	0.00126334	0.00163592	0.00194233	0.00226205	0.0025153	0.00277371	0.00359245	0.0100671
d1_9	0.000345264	0.000406878	0.000550804	0.000718189	0.00104499	0.00120409	0.00151458	0.00188887	0.00232198	0.00313405	0.0125947
d1_10	6.65515e-05	0.000145403	0.000197804	0.000300561	0.00042202	0.000611533	0.000848859	0.00111703	0.00152691	0.00231696	0
