	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.102441	0.0396591	0.0201403	0.0110111	0.00635873	0.00358103	0.00207841	0.00113025	0.000583395	0.000289896
d1_1	0.263375	0.0261718	0.0163816	0.0117409	0.00838452	0.00605913	0.00427922	0.00304863	0.00195046	0.00121975	0.000741067
d1_2	0.0841778	0.0151713	0.0104625	0.00842771	0.00677076	0.00543499	0.00442036	0.00344915	0.0026301	0.00194138	0.00141993
d1_3	0.0360349	0.00995676	0.00750208	0.00650037	0.00553504	0.0049418	0.00429144	0.00354816	0.0030126	0.00256928	0.00229244
d1_4	0.0166261	0.00651475	0.0054362	0.00491486	0.00466192	0.00439276	0.00396833	0.00380849	0.00332189	0.00309135	0.00333429
d1_5	0.00820976	0.00425587	0.00386341	0.00389261	0.00378964	0.00370792	0.00366327	0.00365082	0.00345181	0.00338038	0.00467015
d1_6	0.00394339	0.0027328	0.0026993	0.00290276	0.00295281	0.00311549	0.00320935	0.00331326	0.0034753	0.00367889	0.00611422
d1_7	0.00190898	0.00161095	0.00174913	0.00184724	0.00215707	0.00246691	0.0026297	0.00293507	0.00316648	0.00385965	0.008193
d1_8	0.000797461	0.000863002	0.00106425	0.00127225	0.00151031	0.00181104	0.00205072	0.00248325	0.0028611	0.00362048	0.0102024
d1_9	0.000281736	0.000358793	0.000500861	0.000706541	0.000894944	0.00112997	0.00147113	0.00186317	0.00240803	0.00328553	0.0128304
d1_10	6.66529e-05	0.000113642	0.000156925	0.000242816	0.000357279	0.000556982	0.000783665	0.0011222	0.00149752	0.00245105	0
