ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
18952	8472	33030	6547	1.09532e-04	5.92242e-05	-271780.800	-271578.466
18948	8341	32468	6532	1.10335e-04	6.63660e-05	-271781.008	-271578.466
18841	8535	34859	5975	1.09566e-04	5.77577e-05	-271781.811	-271578.466
19119	8335	32689	6592	1.21574e-04	6.23050e-05	-271781.946	-271578.466
19103	8548	33312	6283	1.17754e-04	6.08244e-05	-271782.161	-271578.466
18944	9241	33383	6258	1.18058e-04	4.66940e-05	-271782.711	-271578.466
19164	8716	32806	6017	1.12268e-04	5.41630e-05	-271782.896	-271578.466
19234	9217	31453	6868	1.18942e-04	4.99373e-05	-271784.655	-271578.466
19026	9704	32934	6447	1.17907e-04	3.86318e-05	-271785.215	-271578.466
19120	8709	35862	6387	1.11970e-04	5.37694e-05	-271786.246	-271578.466
