	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0940387	0.0379586	0.0199157	0.011564	0.00690472	0.00417633	0.00253374	0.00137423	0.000784159	0.000381498
d1_1	0.265584	0.0254037	0.0154502	0.0110746	0.00817146	0.00613027	0.0044873	0.00320031	0.00222688	0.00151782	0.000863477
d1_2	0.0808515	0.0155724	0.0104836	0.0084087	0.00675256	0.00566876	0.00446784	0.00360236	0.0028114	0.00207833	0.00156784
d1_3	0.0333547	0.0105352	0.00793371	0.00651872	0.0056804	0.00502198	0.0044103	0.00378908	0.00305553	0.00253941	0.00227272
d1_4	0.0162998	0.00701005	0.00591797	0.0051994	0.00497312	0.00456293	0.00416303	0.00374767	0.00345984	0.00306985	0.00332347
d1_5	0.00800885	0.00473609	0.0042769	0.00414171	0.00406803	0.00392045	0.00386509	0.00381122	0.00362382	0.00350668	0.00436795
d1_6	0.00411288	0.00294298	0.00302417	0.00304157	0.00316689	0.00330824	0.00347757	0.00338025	0.00373143	0.00380117	0.00606164
d1_7	0.00202171	0.00168931	0.00189513	0.00217747	0.00243453	0.00262078	0.00282357	0.00304247	0.00337821	0.00407678	0.00785802
d1_8	0.000933117	0.00103221	0.00124374	0.00141654	0.00164083	0.00204105	0.00217263	0.00266754	0.00301101	0.00390477	0.01014
d1_9	0.000323443	0.000479559	0.000608813	0.00079625	0.00103238	0.00122383	0.00150758	0.00190226	0.00239275	0.00347266	0.0125685
d1_10	9.23674e-05	0.000131423	0.000191484	0.000306613	0.000461957	0.00064174	0.00091409	0.00125333	0.00165726	0.00259851	0
