	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0943898	0.0386112	0.0203673	0.011776	0.00721928	0.00441022	0.00263254	0.00148688	0.000837101	0.000392998
d1_1	0.277287	0.02395	0.0150991	0.0108709	0.00802354	0.00614899	0.00449192	0.00309114	0.0021928	0.00142319	0.000791003
d1_2	0.0765147	0.0148624	0.010481	0.00831667	0.00678438	0.00552542	0.00446686	0.00357543	0.00262526	0.0018998	0.00136209
d1_3	0.0311619	0.0101047	0.00795389	0.00665897	0.00590716	0.00507523	0.00427921	0.00366132	0.0030566	0.00243305	0.00210594
d1_4	0.0149169	0.00701206	0.00590493	0.00534433	0.00502522	0.00470217	0.00422898	0.00378505	0.00339216	0.00296746	0.0029843
d1_5	0.007566	0.00452768	0.0043995	0.00409721	0.00409943	0.00416368	0.00387503	0.00354354	0.00360169	0.00330271	0.00407879
d1_6	0.00389459	0.0030028	0.00306166	0.00313785	0.00331748	0.00344961	0.00346332	0.00349397	0.00366333	0.00368792	0.00567263
d1_7	0.00193905	0.00179581	0.002028	0.00222244	0.00244258	0.00271044	0.00293472	0.00310248	0.00347433	0.0038409	0.00743358
d1_8	0.000822812	0.000951924	0.00114216	0.00155093	0.00170242	0.00202982	0.00234923	0.00265872	0.00314072	0.00387216	0.00970746
d1_9	0.000356833	0.000483271	0.000621393	0.000795534	0.00106349	0.00135524	0.00156945	0.00196379	0.00247585	0.00334477	0.0123394
d1_10	0.000102382	0.000143636	0.000207977	0.000337373	0.000487237	0.000641029	0.00083064	0.00119935	0.00168667	0.00247288	0
