	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0997009	0.038985	0.0198989	0.0110996	0.00645622	0.00380812	0.00218457	0.00123428	0.000639453	0.000300155
d1_1	0.258661	0.0242844	0.0157647	0.0114244	0.00845879	0.0062618	0.00443253	0.00317457	0.00212375	0.00134202	0.000836967
d1_2	0.082494	0.0143409	0.0104307	0.00872657	0.00701547	0.00562794	0.00458395	0.00368161	0.0026584	0.00197737	0.00148114
d1_3	0.0351032	0.00958618	0.00751819	0.00679437	0.0057957	0.00513345	0.00446776	0.00378082	0.00314262	0.00248755	0.00242766
d1_4	0.0168917	0.00650841	0.00553825	0.00534893	0.00496391	0.00450974	0.00418757	0.00387456	0.00343461	0.00304082	0.00339108
d1_5	0.00870262	0.00433884	0.00411832	0.00409106	0.00398946	0.00410079	0.00382637	0.00370921	0.00355502	0.0034153	0.00474426
d1_6	0.00434546	0.00283176	0.00294809	0.00304092	0.00315971	0.00326748	0.0034685	0.00360111	0.00346397	0.00376071	0.0061904
d1_7	0.00210237	0.00167779	0.00192279	0.00211168	0.00241422	0.00266577	0.0028704	0.00323296	0.00337373	0.00384877	0.00805279
d1_8	0.000925733	0.00097349	0.0011408	0.00143934	0.00168417	0.00193513	0.00231352	0.0027209	0.00301573	0.00370496	0.0104922
d1_9	0.000362958	0.000407371	0.000631106	0.000811824	0.00100632	0.00131233	0.00159907	0.00191394	0.00241973	0.00328868	0.0130648
d1_10	7.88894e-05	0.000117565	0.00020427	0.000295212	0.000453831	0.000608133	0.000854388	0.001141	0.00160379	0.00251848	0
