	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0973666	0.0383453	0.0197196	0.011065	0.00639562	0.00383239	0.00212822	0.00120299	0.000624528	0.000278173
d1_1	0.262438	0.023862	0.0159588	0.0113152	0.00855936	0.00622428	0.00450869	0.00302296	0.0020941	0.00127334	0.000779457
d1_2	0.0810401	0.0142803	0.0105681	0.00858478	0.00717917	0.00578358	0.00464076	0.00365701	0.00267133	0.00197751	0.00142882
d1_3	0.0342196	0.00954267	0.00760308	0.00662423	0.00620165	0.00534268	0.0045521	0.00379291	0.00322242	0.00249167	0.00234841
d1_4	0.0163337	0.00660702	0.00561638	0.00546383	0.00519297	0.00477495	0.00452692	0.00397768	0.00337702	0.00299879	0.00325913
d1_5	0.00824302	0.00434789	0.00416431	0.00414802	0.00422903	0.00416529	0.00400593	0.00371516	0.0035339	0.00339234	0.00458113
d1_6	0.00414854	0.00278292	0.00287432	0.00316731	0.00342359	0.00350084	0.00355387	0.00363721	0.00357309	0.00377021	0.00620678
d1_7	0.00207256	0.0016682	0.00201359	0.0021405	0.0023982	0.00273741	0.00308194	0.00310118	0.0033947	0.00388179	0.00817172
d1_8	0.000892462	0.000924929	0.00114917	0.00143886	0.00167794	0.00196702	0.00240226	0.00267983	0.00308009	0.00372871	0.0102704
d1_9	0.000300578	0.000414454	0.000595375	0.000748418	0.00101911	0.00128999	0.00158412	0.00195344	0.00250201	0.00332117	0.0132992
d1_10	7.19648e-05	0.000135363	0.000217511	0.000267292	0.000450861	0.0006255	0.000921885	0.00125221	0.00172013	0.00239533	0
