	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0989994	0.0391739	0.0200989	0.0113812	0.00673601	0.00406873	0.0023784	0.00125889	0.000716404	0.000359914
d1_1	0.264827	0.0252128	0.0157648	0.0111573	0.00829173	0.00619769	0.00425984	0.00319424	0.00218569	0.00142661	0.000928252
d1_2	0.0834708	0.014965	0.0104662	0.00821647	0.00663325	0.00540538	0.00443055	0.00359548	0.0027189	0.00203205	0.00156641
d1_3	0.0350996	0.0100075	0.00750968	0.00625558	0.00558454	0.00487015	0.00441221	0.00373187	0.00303965	0.00267155	0.0024372
d1_4	0.016753	0.00663216	0.0055834	0.00505038	0.00471485	0.00439479	0.00403511	0.00374975	0.00330661	0.00307694	0.00344723
d1_5	0.00831814	0.00442144	0.00392819	0.00385074	0.00389579	0.00372344	0.00369691	0.00355283	0.00340479	0.00340341	0.00453603
d1_6	0.00425646	0.0028691	0.00278656	0.00297991	0.00303986	0.00314823	0.00331051	0.00341042	0.00350982	0.00370555	0.00609067
d1_7	0.00208386	0.00176648	0.00185055	0.00212969	0.00230337	0.00249624	0.00266842	0.00285045	0.00323144	0.00389335	0.00794407
d1_8	0.000911779	0.000941587	0.00107571	0.00138271	0.00154972	0.00177636	0.00208481	0.00253045	0.00288419	0.00366947	0.00995636
d1_9	0.000341893	0.000433883	0.000596193	0.000768618	0.000895283	0.00123803	0.00152543	0.00191684	0.00235029	0.00322214	0.0126691
d1_10	9.21144e-05	0.000138597	0.000172012	0.000304951	0.000461934	0.000626592	0.000845853	0.00109624	0.0015516	0.00245064	0
