	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.100865	0.0412461	0.0219161	0.0126746	0.00744508	0.00459932	0.00265734	0.00151046	0.000835359	0.000361322
d1_1	0.258241	0.0252071	0.0156876	0.0111393	0.00810484	0.00624036	0.0044363	0.00316244	0.00213278	0.00132603	0.000756514
d1_2	0.0766613	0.0156629	0.0106872	0.00836456	0.0066942	0.0056961	0.00443802	0.00341681	0.00257457	0.00178619	0.00120796
d1_3	0.0315549	0.0105172	0.00816676	0.00680852	0.00591443	0.00509475	0.00427312	0.00361509	0.00296101	0.00238201	0.00180427
d1_4	0.01523	0.00718226	0.0061963	0.00557573	0.00497046	0.00474791	0.00428087	0.00370005	0.00325066	0.00279372	0.0026578
d1_5	0.00774511	0.00488053	0.00450645	0.00440766	0.00428212	0.00420012	0.00400365	0.00373899	0.00349918	0.00329642	0.00384154
d1_6	0.00392144	0.00310875	0.00312467	0.00329931	0.00350692	0.00359182	0.00350203	0.00366322	0.00362261	0.00359899	0.00506507
d1_7	0.00190576	0.00192841	0.00208866	0.00235146	0.00255069	0.00279385	0.00299848	0.00315105	0.00348853	0.00381643	0.0067745
d1_8	0.00088545	0.00104608	0.00129544	0.00156966	0.00181397	0.00225675	0.00236522	0.00270594	0.00315025	0.00393262	0.00901474
d1_9	0.000341309	0.000498937	0.000690866	0.000944598	0.0011386	0.0014777	0.0017177	0.00212157	0.00269049	0.00359504	0.0115254
d1_10	0.000113152	0.000193167	0.000255454	0.000377032	0.000573872	0.000715294	0.00107184	0.00147371	0.00191331	0.00286757	0
