	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0951084	0.0383235	0.0200864	0.0113741	0.00690266	0.00412752	0.00249981	0.00142078	0.000754848	0.000329752
d1_1	0.263825	0.0266692	0.0160387	0.0112722	0.00842354	0.0062254	0.004651	0.00312643	0.0023168	0.00145804	0.000833684
d1_2	0.0803151	0.0162689	0.0108549	0.00841284	0.006747	0.00551721	0.00460915	0.00346902	0.0028423	0.0020203	0.00146841
d1_3	0.0337275	0.010729	0.00787892	0.00656633	0.00584062	0.00502001	0.00436591	0.00363684	0.00312861	0.00257286	0.00219961
d1_4	0.015783	0.00723759	0.00592912	0.00523994	0.00480812	0.00449087	0.00412179	0.00371966	0.00344313	0.00302868	0.00302868
d1_5	0.00798876	0.00477651	0.00439689	0.00410305	0.00393168	0.00383219	0.00380205	0.00369348	0.00369743	0.00354951	0.00433807
d1_6	0.00382885	0.00300553	0.00301892	0.00305482	0.00316204	0.00325194	0.00337146	0.00343925	0.00368427	0.00391996	0.00571675
d1_7	0.00196724	0.00181071	0.00199797	0.00205778	0.002419	0.00259382	0.00288366	0.00302559	0.00331673	0.0039692	0.0075293
d1_8	0.000872783	0.00100166	0.001222	0.00135722	0.00174391	0.00193099	0.00225754	0.00259282	0.00305347	0.00408112	0.00970106
d1_9	0.000319386	0.00042294	0.000649517	0.000761915	0.00104051	0.00129925	0.00161058	0.00185873	0.00242645	0.00341965	0.0124587
d1_10	7.09346e-05	0.000141172	0.000214196	0.000317726	0.000434871	0.000614586	0.000803608	0.00118509	0.00156976	0.00264221	0
