	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0959406	0.0386674	0.0200791	0.0114112	0.00673059	0.00405347	0.00235969	0.00137625	0.0007276	0.000369758
d1_1	0.267437	0.0256387	0.015805	0.0113586	0.00822119	0.00615251	0.00455467	0.00313544	0.00215597	0.00143338	0.000873948
d1_2	0.0819484	0.0155701	0.0105417	0.00825812	0.00674324	0.0054326	0.00448201	0.00348918	0.00278503	0.00202753	0.00147247
d1_3	0.0337226	0.0103661	0.00770041	0.00648725	0.00565709	0.00506347	0.00435377	0.00382504	0.00309243	0.00257059	0.00236647
d1_4	0.0160454	0.00672967	0.00569462	0.00519461	0.00478416	0.00443019	0.00406884	0.00368552	0.00338693	0.00302806	0.00325549
d1_5	0.00813887	0.00463436	0.00407499	0.00398501	0.00400352	0.00394872	0.0038453	0.00359383	0.00354393	0.00354838	0.0045278
d1_6	0.00404567	0.00284719	0.00281968	0.00304092	0.0030385	0.00319382	0.00338544	0.00349832	0.00352797	0.00368155	0.00593648
d1_7	0.00206437	0.0017447	0.0018498	0.00214205	0.00232267	0.00268157	0.00281873	0.00300724	0.00333621	0.00388069	0.00766727
d1_8	0.000882022	0.00090738	0.00116839	0.00135422	0.00165275	0.00181845	0.0021467	0.00243779	0.00296274	0.00381868	0.0100026
d1_9	0.000318997	0.000447453	0.000558038	0.000787989	0.0010246	0.00118423	0.0015092	0.00194287	0.0023697	0.00325805	0.0125272
d1_10	8.13475e-05	0.0001438	0.000206486	0.000296615	0.000422127	0.000624101	0.000820683	0.00110998	0.00167258	0.00242526	0
