	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.103451	0.0398651	0.0200683	0.0108354	0.00623763	0.00356534	0.00198983	0.00109052	0.000557155	0.000267933
d1_1	0.268856	0.0247	0.0158872	0.0115178	0.00840486	0.00611505	0.00426444	0.00298125	0.00196137	0.00114291	0.000771684
d1_2	0.0822069	0.0143486	0.0103594	0.00845777	0.00685278	0.0057187	0.0043497	0.00343827	0.00257074	0.00185443	0.00136829
d1_3	0.0340765	0.00948955	0.00746554	0.00646043	0.00581052	0.00512479	0.00434992	0.00375855	0.00296772	0.0023571	0.00219959
d1_4	0.0156675	0.00634686	0.0055501	0.00514953	0.00495799	0.00461139	0.00419525	0.00373097	0.0032376	0.0028823	0.00330457
d1_5	0.00790664	0.00405213	0.00396607	0.00404072	0.00400648	0.00409131	0.00381971	0.00370202	0.00343088	0.00327638	0.00448388
d1_6	0.00398146	0.00264418	0.00266343	0.00293972	0.0031944	0.00327497	0.00341787	0.0033851	0.00348911	0.00368951	0.00591608
d1_7	0.00187387	0.00154719	0.00174071	0.00206675	0.00229013	0.00253943	0.00284414	0.00297466	0.00326805	0.00375287	0.0079185
d1_8	0.000771966	0.000833621	0.00106991	0.00127426	0.0015573	0.0019316	0.00209445	0.00252318	0.00289826	0.00359705	0.0101631
d1_9	0.000337273	0.000344167	0.000528151	0.000700317	0.000933763	0.00116824	0.00153281	0.00193134	0.00226945	0.00326427	0.0128722
d1_10	6.45234e-05	0.00011809	0.000163737	0.000267062	0.000406099	0.00054098	0.00075289	0.0012072	0.00161401	0.00233	0
