	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.100811	0.0392085	0.019905	0.0109296	0.00625376	0.00359532	0.00206233	0.00108511	0.000566264	0.000264891
d1_1	0.26626	0.0269019	0.0164167	0.0116456	0.00834374	0.00598948	0.00425733	0.00296193	0.00198672	0.00124831	0.000777322
d1_2	0.0849238	0.0159652	0.0106847	0.00843554	0.00663792	0.005541	0.00420555	0.00336821	0.00258352	0.00198821	0.00142925
d1_3	0.0352834	0.0101738	0.00775376	0.00649822	0.00563653	0.00493677	0.0042392	0.00354582	0.00305036	0.00253115	0.00215294
d1_4	0.0163794	0.00665048	0.00549997	0.00503184	0.00457175	0.00427166	0.00398612	0.0036487	0.00331679	0.00301056	0.00333445
d1_5	0.00791461	0.00418177	0.00376686	0.0038981	0.00382624	0.00379026	0.00374928	0.00364467	0.00334792	0.00341807	0.00461257
d1_6	0.0037883	0.00266612	0.00267385	0.00269905	0.00288801	0.00299147	0.00315086	0.00334234	0.00349476	0.00386227	0.00620081
d1_7	0.0016986	0.00158136	0.00167959	0.0018484	0.00214715	0.00243144	0.00262622	0.00292118	0.00332786	0.00392893	0.00805506
d1_8	0.00079766	0.000855319	0.000936359	0.00119109	0.00139428	0.00175473	0.00200971	0.00239895	0.00282642	0.00380766	0.0104036
d1_9	0.000289586	0.000375829	0.000469605	0.000653794	0.000856216	0.00108761	0.00140892	0.00179171	0.0023168	0.00338195	0.0129571
d1_10	5.64458e-05	8.77128e-05	0.000154133	0.000263283	0.00034425	0.000484604	0.000752278	0.00103755	0.00150305	0.00246058	0
