	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0989305	0.0385463	0.0195876	0.0109358	0.00635361	0.0037764	0.00200795	0.00118391	0.000548256	0.000268939
d1_1	0.261664	0.0243601	0.01597	0.0116804	0.00855046	0.00618582	0.00439802	0.00303007	0.0020801	0.00120377	0.000748821
d1_2	0.0806599	0.0147732	0.0107845	0.00858546	0.00704213	0.00588092	0.00449591	0.00359537	0.00256216	0.00181622	0.00129013
d1_3	0.0340786	0.00972334	0.00761392	0.00685646	0.00600683	0.00534402	0.00453283	0.00383632	0.00315993	0.00257741	0.00225537
d1_4	0.0164107	0.00660797	0.00585414	0.00539983	0.00507792	0.00468468	0.0044356	0.00391299	0.00341518	0.00302117	0.00328122
d1_5	0.00803329	0.0044972	0.00429769	0.0042589	0.00430275	0.00404227	0.00414992	0.00395271	0.00371277	0.00354148	0.00449356
d1_6	0.00411564	0.00277813	0.00285972	0.00310386	0.00337264	0.00338166	0.00356782	0.00360661	0.00362386	0.00374453	0.00617524
d1_7	0.00198299	0.00168733	0.00189956	0.00217226	0.00240337	0.00279415	0.00295485	0.00322338	0.00344549	0.00389808	0.00791061
d1_8	0.000781155	0.000890021	0.00105166	0.0014147	0.00160792	0.00204283	0.00229075	0.00259057	0.0031632	0.0038517	0.0102043
d1_9	0.000316882	0.000330738	0.000585606	0.00074835	0.00096073	0.00123309	0.00159264	0.00195681	0.00249893	0.00333141	0.013113
d1_10	6.41218e-05	9.50215e-05	0.000210262	0.000243214	0.000455032	0.000602897	0.000892234	0.0011708	0.00165325	0.00248823	0
