	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0997457	0.0390044	0.0198276	0.0111429	0.0062348	0.00369919	0.00214415	0.00123418	0.000589997	0.000292094
d1_1	0.264301	0.0263738	0.0161904	0.0115125	0.00827611	0.00607637	0.00430163	0.00300214	0.00202898	0.00130051	0.000803163
d1_2	0.0828924	0.0156605	0.0108227	0.00824272	0.00682957	0.00554599	0.00438844	0.003476	0.00263228	0.00189981	0.00148323
d1_3	0.0346582	0.0100838	0.00761088	0.0065449	0.0057158	0.00504517	0.00440233	0.00366129	0.0030204	0.0024933	0.00217881
d1_4	0.0161736	0.00696424	0.00558145	0.00507867	0.00483258	0.00454953	0.00415177	0.00384702	0.00336364	0.00304489	0.00336561
d1_5	0.00803674	0.00445858	0.00401031	0.00394	0.00388182	0.00375595	0.00373988	0.00362397	0.00350792	0.00362086	0.00461467
d1_6	0.00394894	0.00275866	0.00276278	0.00295149	0.00308026	0.00327197	0.00333564	0.00337185	0.00359867	0.00395362	0.00605299
d1_7	0.00184699	0.00162151	0.00178975	0.00204295	0.0022748	0.00252794	0.00278212	0.00299902	0.00330115	0.00388154	0.00782951
d1_8	0.000841388	0.000842817	0.00105377	0.00126414	0.00152937	0.00190362	0.00211853	0.0023971	0.00305369	0.00389982	0.0102321
d1_9	0.000327589	0.000407226	0.000541203	0.000682871	0.000921125	0.00112858	0.00144181	0.00185982	0.00240632	0.00343876	0.0126432
d1_10	5.92152e-05	8.59152e-05	0.000199705	0.00027536	0.000364824	0.000547172	0.000817063	0.00113458	0.00156297	0.00252081	0
