	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0979312	0.0392608	0.0203357	0.0116805	0.00680651	0.00417659	0.0024982	0.00137506	0.00075251	0.000361239
d1_1	0.266483	0.0267547	0.0161627	0.0110014	0.00841879	0.00613164	0.00446515	0.00318834	0.00216565	0.00137539	0.000845077
d1_2	0.0819488	0.0159869	0.0107597	0.00839088	0.00667041	0.00550852	0.00441925	0.00349157	0.0026931	0.00203538	0.00143946
d1_3	0.0340641	0.0104663	0.00787819	0.00646357	0.00553784	0.00495103	0.00429399	0.00350836	0.00300172	0.00255486	0.00221109
d1_4	0.0160276	0.00717237	0.00571742	0.00513531	0.00466205	0.00428795	0.00401979	0.0036959	0.00331166	0.00309795	0.00314739
d1_5	0.00792257	0.00484033	0.00409135	0.003823	0.00380901	0.00380477	0.0037372	0.00344587	0.00345369	0.00361726	0.00425267
d1_6	0.00400643	0.00296764	0.00282544	0.0030021	0.00309675	0.00312357	0.00324326	0.00336419	0.00345166	0.00385302	0.00568014
d1_7	0.00188813	0.00175749	0.00182017	0.0019312	0.00231419	0.00249715	0.00268042	0.00299768	0.00332401	0.00376039	0.00738769
d1_8	0.000836581	0.000954518	0.00109917	0.00130041	0.00160227	0.00188412	0.00207795	0.00251647	0.00292206	0.00374637	0.00950337
d1_9	0.00034296	0.000402774	0.00056364	0.000692213	0.000979087	0.00123564	0.00155988	0.00177168	0.00231584	0.0033424	0.012218
d1_10	9.6245e-05	0.000134886	0.000187982	0.000306677	0.000407625	0.000540494	0.000821799	0.00108118	0.00154986	0.00251479	0
