	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101989	0.0394382	0.019313	0.0108001	0.00609834	0.00349	0.00197205	0.00104876	0.000548191	0.000274237
d1_1	0.261854	0.0251651	0.0160366	0.0115377	0.00834019	0.00602788	0.00427867	0.00290122	0.0020031	0.00119701	0.000727661
d1_2	0.0842903	0.0146488	0.0103989	0.00849533	0.00693524	0.00551461	0.0044106	0.003498	0.00263486	0.00191237	0.00147055
d1_3	0.0354097	0.00969562	0.00740287	0.00662125	0.0057922	0.00514339	0.004463	0.00365594	0.00302161	0.00241869	0.00241681
d1_4	0.0166627	0.00648296	0.00559253	0.00511568	0.00488403	0.00450598	0.00424867	0.00384175	0.00335742	0.00300949	0.0034204
d1_5	0.00828639	0.00421962	0.00392071	0.00396732	0.00393834	0.00398912	0.00388283	0.00372915	0.00354255	0.00342657	0.00482665
d1_6	0.00402725	0.00262175	0.00273921	0.00296258	0.00314272	0.00314638	0.00340574	0.00344096	0.00355095	0.00381737	0.00641833
d1_7	0.00199773	0.00152532	0.00169889	0.00200931	0.0023455	0.00253503	0.00272907	0.0030834	0.00325042	0.00386468	0.00835479
d1_8	0.000849034	0.000827246	0.00105977	0.00126689	0.00153764	0.00177516	0.00214448	0.00257043	0.00290112	0.00374541	0.0108357
d1_9	0.000274603	0.000367307	0.000548343	0.000674739	0.000916709	0.00120349	0.00143249	0.00192853	0.00232025	0.00336291	0.013205
d1_10	7.06956e-05	0.000110274	0.00014352	0.000240449	0.000350749	0.000566511	0.000765417	0.00107359	0.00164382	0.00247779	0
