	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0976861	0.0381299	0.019001	0.0105508	0.00602558	0.00339879	0.00199767	0.00110154	0.00059821	0.000299352
d1_1	0.262518	0.024752	0.0158112	0.0114785	0.00840349	0.00597872	0.00431478	0.00305958	0.00203312	0.00127021	0.000779634
d1_2	0.0839098	0.0145525	0.0104535	0.00847909	0.0069434	0.00573457	0.00452751	0.00355428	0.00271068	0.00182529	0.00156082
d1_3	0.0356412	0.00961244	0.00766636	0.00661987	0.00587859	0.00514603	0.00444136	0.00374486	0.00314842	0.00261025	0.00246691
d1_4	0.0168704	0.00651546	0.005462	0.0051921	0.00497934	0.00461765	0.00439367	0.0037064	0.00361408	0.00318436	0.00363684
d1_5	0.00829394	0.00430563	0.00394606	0.00400104	0.00398784	0.00396018	0.00388397	0.00383515	0.00354862	0.00360192	0.0049733
d1_6	0.00413555	0.00267153	0.00291691	0.00286306	0.00323366	0.00329085	0.00345936	0.0035171	0.00354195	0.00384361	0.0066332
d1_7	0.00197706	0.00162616	0.00179482	0.00202344	0.0023166	0.0025588	0.00284728	0.0031384	0.00338628	0.00394112	0.00866304
d1_8	0.00088045	0.000825258	0.00105133	0.00132521	0.00155376	0.00190734	0.00221913	0.00255329	0.0030321	0.00378237	0.0111
d1_9	0.000279333	0.000405811	0.000534148	0.000722156	0.000954087	0.00116368	0.00154695	0.00187944	0.00231542	0.00335298	0.0140046
d1_10	7.78541e-05	0.00011353	0.000179284	0.000229156	0.000346061	0.000552061	0.000753375	0.00109001	0.00159948	0.00236481	0
