	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.105056	0.0415709	0.0216643	0.0121184	0.00704366	0.00412273	0.00235005	0.00132909	0.000689355	0.000296527
d1_1	0.252016	0.0250527	0.0160721	0.0118214	0.00863217	0.00621758	0.00450689	0.00304874	0.00205038	0.00125308	0.000753416
d1_2	0.0783629	0.0153581	0.0107684	0.00849089	0.00699841	0.00568371	0.00465135	0.00338797	0.00254163	0.00178457	0.00125901
d1_3	0.0330381	0.0103979	0.0078023	0.00706285	0.00603899	0.00526147	0.00440381	0.00362246	0.00301631	0.00234472	0.00189996
d1_4	0.0158476	0.00686339	0.00586842	0.00537259	0.00511396	0.00470846	0.00429321	0.00378255	0.00328121	0.00283693	0.00282282
d1_5	0.00809391	0.00476828	0.00431274	0.00433201	0.00414896	0.0042425	0.00389231	0.00369273	0.00342698	0.00333059	0.0038545
d1_6	0.00409717	0.00303345	0.00310075	0.00327064	0.00335166	0.00347678	0.00353108	0.00346693	0.00350947	0.00359726	0.0051819
d1_7	0.00201117	0.00182834	0.00209333	0.00225314	0.00257211	0.00285566	0.00304717	0.00339977	0.00337653	0.00377564	0.00703148
d1_8	0.000931899	0.000957132	0.00120909	0.00146934	0.00187055	0.00215005	0.00245132	0.00268101	0.00314417	0.00389094	0.00898887
d1_9	0.000384008	0.000463376	0.000628405	0.000869693	0.0011144	0.00142371	0.0017397	0.00220808	0.00260703	0.0034255	0.0115698
d1_10	9.08572e-05	0.000161273	0.000241864	0.0003362	0.000521963	0.000753293	0.00103817	0.00144165	0.00187986	0.00276739	0
