	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0948417	0.0381784	0.0200422	0.011471	0.0068189	0.00411133	0.00245462	0.00142715	0.000742976	0.000363171
d1_1	0.264362	0.025901	0.015786	0.0111477	0.00831119	0.00610017	0.00457369	0.00327571	0.00219025	0.00146785	0.000856333
d1_2	0.0812566	0.015761	0.0104413	0.00833817	0.00682383	0.00546417	0.00442678	0.00367083	0.00279818	0.00206378	0.00151287
d1_3	0.0340301	0.0107157	0.00784672	0.00655849	0.00578719	0.00509757	0.00434013	0.00365931	0.00319915	0.00261044	0.00231306
d1_4	0.0160797	0.00707441	0.00570915	0.00524649	0.00482625	0.00450507	0.00420373	0.00372041	0.0033202	0.00322508	0.00327219
d1_5	0.00822128	0.00460727	0.00417581	0.00404127	0.00399219	0.0038635	0.00383193	0.00361622	0.00355353	0.00350896	0.00449108
d1_6	0.00415448	0.00310349	0.00289451	0.00298949	0.00320715	0.00330039	0.00325565	0.00342977	0.00352034	0.00385137	0.00595137
d1_7	0.00201889	0.00178088	0.00200528	0.00206729	0.00237341	0.00260987	0.002902	0.00305329	0.00343202	0.00417583	0.00776602
d1_8	0.000904501	0.000984508	0.00118359	0.00145246	0.00163493	0.00191807	0.00224122	0.00257733	0.00307503	0.00389855	0.0098847
d1_9	0.000329548	0.000438314	0.000557846	0.000806653	0.000996251	0.00121517	0.00151632	0.00188778	0.00239922	0.00352186	0.012572
d1_10	8.11385e-05	0.000142609	0.000219877	0.000305525	0.000443868	0.000595781	0.000848609	0.00119215	0.00160813	0.00249943	0
