ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
20322	8713	34183	6995	1.11091e-04	5.77196e-05	-285492.428	-285287.679
19724	7831	33870	8168	1.06695e-04	7.98597e-05	-285493.472	-285287.679
20050	7955	34456	7373	1.08532e-04	7.45919e-05	-285495.274	-285287.679
20115	9237	30656	7962	1.26504e-04	5.19200e-05	-285495.474	-285287.679
20428	8042	36566	6264	9.91683e-05	7.56983e-05	-285495.522	-285287.679
19951	8693	33558	7901	1.12112e-04	6.16410e-05	-285495.886	-285287.679
20429	8635	32656	7276	1.18223e-04	6.18175e-05	-285496.277	-285287.679
20559	8995	32567	7158	1.21989e-04	5.26593e-05	-285497.955	-285287.679
20091	7207	33659	8193	1.10080e-04	9.35243e-05	-285499.230	-285287.679
20602	7203	47401	4557	6.90742e-05	9.08217e-05	-285542.191	-285287.679
