	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.100225	0.0392033	0.0198618	0.0110763	0.00624859	0.00361171	0.00208348	0.00121801	0.000610706	0.000305056
d1_1	0.267913	0.0256764	0.0162022	0.0113823	0.00819364	0.00599432	0.00422438	0.00303591	0.00197092	0.00132621	0.000745084
d1_2	0.083185	0.0151301	0.0107014	0.00840742	0.00667426	0.0056555	0.00438915	0.00344364	0.00261524	0.00195114	0.00138967
d1_3	0.0345528	0.0098168	0.00758925	0.00661378	0.00566973	0.0050134	0.00439708	0.00377313	0.00303411	0.00249665	0.00236007
d1_4	0.0159978	0.00654243	0.0054243	0.00519087	0.00489327	0.00449531	0.00411735	0.0036714	0.00344944	0.00294353	0.00318241
d1_5	0.00790035	0.00434076	0.00404129	0.0038536	0.00387728	0.00383179	0.00376729	0.00357927	0.00353672	0.00346025	0.00462677
d1_6	0.00383317	0.00264113	0.00286431	0.00276218	0.00309081	0.00319882	0.0033503	0.00344305	0.00341921	0.0037078	0.00602172
d1_7	0.00193001	0.00159722	0.00174433	0.00203898	0.00225444	0.00244733	0.00273907	0.00318306	0.00333839	0.00374343	0.00802067
d1_8	0.000808563	0.000873976	0.00104415	0.0012974	0.00153253	0.00186621	0.00209023	0.00253434	0.00297011	0.00367834	0.0102569
d1_9	0.000271706	0.000406394	0.00048958	0.000708313	0.000853887	0.00114585	0.00139151	0.00182171	0.00234391	0.00324043	0.0129488
d1_10	7.63355e-05	0.00012003	0.00017933	0.000266304	0.000367145	0.00052568	0.000804935	0.00106462	0.00154523	0.00241547	0
