	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0976619	0.0387925	0.0200322	0.0112138	0.00659272	0.00392046	0.00231414	0.00130013	0.000657908	0.000346198
d1_1	0.268846	0.025467	0.0158554	0.0112791	0.00826183	0.00610758	0.00439137	0.00312597	0.00207821	0.0013826	0.000796395
d1_2	0.0806965	0.0150037	0.0103946	0.00832478	0.00685751	0.00554888	0.0044749	0.00358811	0.00268373	0.00198672	0.00153565
d1_3	0.0335229	0.00992151	0.00769497	0.006575	0.0057199	0.0050751	0.00442673	0.00366607	0.00308993	0.00248419	0.0022884
d1_4	0.0157074	0.00675168	0.00556687	0.00507335	0.00490061	0.00454773	0.00416497	0.00371657	0.00342038	0.00310979	0.00324668
d1_5	0.00812505	0.00441129	0.00414934	0.0040901	0.00398711	0.00397727	0.00383796	0.00369027	0.00351172	0.00339267	0.00448067
d1_6	0.00398552	0.00290237	0.00293719	0.00300853	0.00318069	0.00333015	0.00337615	0.00340265	0.00346545	0.00382355	0.00582086
d1_7	0.00198337	0.00172307	0.0018885	0.00207983	0.00239701	0.00268412	0.00282424	0.00313408	0.00335386	0.0039049	0.00774748
d1_8	0.000919718	0.000965208	0.00115277	0.00140061	0.0015929	0.0019033	0.00223047	0.00258451	0.00293978	0.00377605	0.00986869
d1_9	0.000299692	0.000421376	0.000541131	0.000767734	0.000967522	0.00119697	0.00147011	0.00192671	0.00251509	0.00349536	0.0126138
d1_10	7.81302e-05	0.00012728	0.000204396	0.000303514	0.000405924	0.000579612	0.00074488	0.00112711	0.0016049	0.00247902	0
