	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0850336	0.0360501	0.0199929	0.0119135	0.00745748	0.00458311	0.00296032	0.00181187	0.000958481	0.000421512
d1_1	0.271312	0.0279532	0.0162365	0.0112363	0.00829767	0.00604947	0.00455221	0.00330036	0.00242871	0.00159034	0.000915658
d1_2	0.0781389	0.0174892	0.0113186	0.00846767	0.00689024	0.00553318	0.00443566	0.00360453	0.00281618	0.00203188	0.00138801
d1_3	0.0315447	0.0113153	0.00842235	0.00693864	0.00592868	0.00495176	0.00430461	0.00380944	0.00319343	0.00262739	0.00194172
d1_4	0.0147364	0.00764868	0.00619614	0.00559349	0.0049446	0.00461329	0.00421728	0.00371163	0.00339392	0.00316058	0.00298103
d1_5	0.00719863	0.0050779	0.0044259	0.00430087	0.00411478	0.00406638	0.00400122	0.00367983	0.0036069	0.00362384	0.00391056
d1_6	0.00379858	0.00320518	0.00315323	0.0030891	0.00327964	0.00340441	0.00345384	0.00359313	0.00370012	0.00398202	0.00542474
d1_7	0.00176718	0.00191056	0.00208193	0.00228681	0.00240714	0.00257937	0.00297299	0.00317364	0.00354705	0.00407529	0.00722442
d1_8	0.000841787	0.00101626	0.0012701	0.00148575	0.00168954	0.00200363	0.00228265	0.0025571	0.00310469	0.00412989	0.00955427
d1_9	0.000350035	0.000468023	0.000688808	0.00077659	0.000988004	0.00125124	0.00164168	0.00190577	0.00256782	0.0036587	0.0122993
d1_10	7.55007e-05	0.000134467	0.000265766	0.000329534	0.000410174	0.0006056	0.000858398	0.00115562	0.00158731	0.00258416	0
