	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0992092	0.0384326	0.0195222	0.0108404	0.00632137	0.00366287	0.00209743	0.00116036	0.000599763	0.000295003
d1_1	0.266321	0.0247857	0.016073	0.0115293	0.00829738	0.00607475	0.00431587	0.00300086	0.00207299	0.00128369	0.000783765
d1_2	0.0824825	0.0147468	0.0105032	0.00852368	0.00691591	0.00564653	0.00441002	0.00342633	0.00265766	0.00188934	0.0014669
d1_3	0.0346033	0.00965634	0.00746828	0.00653584	0.00596089	0.00521646	0.00450085	0.00389287	0.00305401	0.00259823	0.00237524
d1_4	0.0161937	0.00643899	0.00549081	0.00527701	0.00489598	0.00458682	0.0042576	0.00379835	0.00340615	0.00308367	0.00342147
d1_5	0.00813647	0.0042438	0.00402129	0.00398393	0.00397287	0.00400482	0.00379785	0.00369912	0.00352913	0.00343653	0.0046235
d1_6	0.00408684	0.00276078	0.00280534	0.00295141	0.00315672	0.00331379	0.00340161	0.00352686	0.00344568	0.00375041	0.00625154
d1_7	0.00193933	0.00169461	0.0017339	0.00221458	0.002342	0.00263504	0.00286017	0.00306298	0.00327257	0.00384778	0.00801049
d1_8	0.000847935	0.000833029	0.00109827	0.00127535	0.00155196	0.00186822	0.00216552	0.00259114	0.00300543	0.00376746	0.0105053
d1_9	0.000288822	0.000384606	0.000554933	0.000716319	0.00091767	0.00119209	0.00153437	0.00190966	0.00245644	0.00324402	0.0132655
d1_10	7.32159e-05	0.000109092	0.000166172	0.000294734	0.0004233	0.000588447	0.000796169	0.00111079	0.00150691	0.00238211	0
