	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.100371	0.0397648	0.0205319	0.0115951	0.00689093	0.00401229	0.00241715	0.00135516	0.000766865	0.000352299
d1_1	0.272694	0.0233708	0.0151866	0.0108689	0.00822264	0.00617389	0.00444544	0.00323191	0.00212161	0.00140742	0.000905801
d1_2	0.0837741	0.0138532	0.00967351	0.00785372	0.00658533	0.00540667	0.00438341	0.00338413	0.00266157	0.00201117	0.00171219
d1_3	0.0351265	0.0092627	0.00713953	0.00606566	0.00546419	0.00473573	0.00423207	0.00353292	0.00303957	0.0025215	0.002479
d1_4	0.0167536	0.00628257	0.0053433	0.00479123	0.00466088	0.00440651	0.00406377	0.00360845	0.0032404	0.00294633	0.00349088
d1_5	0.00856685	0.00430835	0.00378861	0.0037736	0.0037326	0.00383254	0.00359386	0.00347671	0.00325919	0.00341159	0.00474255
d1_6	0.0043336	0.00274372	0.00276502	0.0028736	0.00303011	0.00314835	0.00327878	0.00317971	0.00335658	0.00357598	0.0061802
d1_7	0.00218517	0.00164566	0.00181621	0.00189382	0.00224434	0.00233162	0.00267224	0.00277772	0.00312494	0.00362434	0.00804481
d1_8	0.00100393	0.000947335	0.00105753	0.00126306	0.00158229	0.00179831	0.00209769	0.00237907	0.00274691	0.00349284	0.0101965
d1_9	0.000328408	0.000430037	0.000521901	0.000789768	0.00096033	0.00126548	0.00145396	0.00178098	0.00223204	0.00301469	0.0126306
d1_10	8.77604e-05	0.000142025	0.000197528	0.000318942	0.000408947	0.000596199	0.000842632	0.00114349	0.00156233	0.00224017	0
