	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0976361	0.0383934	0.0197167	0.0110004	0.00641672	0.00381329	0.00222642	0.0012867	0.000665334	0.000324483
d1_1	0.270747	0.0245662	0.0157823	0.0112338	0.00817939	0.0061357	0.00428063	0.00309091	0.002164	0.0013938	0.000871711
d1_2	0.0834386	0.0147061	0.0102359	0.00814735	0.00673441	0.005586	0.00434984	0.00360897	0.00271202	0.00195957	0.00154023
d1_3	0.034694	0.00954263	0.00744172	0.006375	0.00564889	0.00499789	0.00439057	0.00365621	0.00314479	0.00259973	0.00243022
d1_4	0.0164091	0.00651542	0.00556577	0.00505852	0.00468956	0.00440249	0.00407281	0.00370463	0.00333614	0.00298878	0.00343166
d1_5	0.00807916	0.00433824	0.00396835	0.00385565	0.00387995	0.00375055	0.00380753	0.00356213	0.00352663	0.00353713	0.00479013
d1_6	0.00405086	0.0027065	0.00272637	0.00286391	0.00304962	0.00321747	0.00321295	0.00334698	0.0035006	0.00368545	0.00630174
d1_7	0.00198872	0.00168847	0.00186976	0.00201492	0.00231031	0.00254359	0.00271489	0.00300279	0.00326501	0.00373032	0.00825814
d1_8	0.000883782	0.000876549	0.00103386	0.00133345	0.00150567	0.00189079	0.00214139	0.00241607	0.00290071	0.00367614	0.0105391
d1_9	0.000331278	0.000413353	0.000542106	0.000712272	0.000873666	0.00119576	0.00145812	0.00186092	0.00235435	0.0031874	0.0132616
d1_10	8.44101e-05	0.000117393	0.000195048	0.000269142	0.000391448	0.000553747	0.000736968	0.00118931	0.00155788	0.00233097	0
