	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101293	0.0395431	0.0202859	0.0112562	0.00660562	0.00390099	0.00230715	0.00124777	0.000714939	0.000344743
d1_1	0.269789	0.024099	0.0153942	0.0111539	0.00843595	0.00615072	0.00444185	0.00305993	0.00204828	0.00134634	0.000837686
d1_2	0.0829344	0.0141003	0.0100496	0.00820574	0.00685825	0.00568785	0.00432299	0.00346541	0.00267352	0.0019622	0.00155171
d1_3	0.0344657	0.00931091	0.00729846	0.00637569	0.00564316	0.00491812	0.00423723	0.00359064	0.00306678	0.00255159	0.00242856
d1_4	0.0165314	0.0063685	0.00544756	0.00494192	0.00475628	0.00449306	0.00404399	0.00377809	0.00318238	0.00300119	0.00328501
d1_5	0.0081378	0.00438731	0.00394703	0.00390623	0.00381713	0.00365548	0.00361039	0.00360145	0.00344986	0.00342504	0.00457354
d1_6	0.00410298	0.00275447	0.00264846	0.00297487	0.00306086	0.00330584	0.00333446	0.00333423	0.0033908	0.00360026	0.00613987
d1_7	0.00209481	0.00170673	0.00183359	0.00201559	0.00228316	0.00249152	0.00279172	0.00298931	0.00319773	0.0036435	0.00787774
d1_8	0.000919809	0.000924565	0.0011105	0.00132548	0.00154068	0.00193062	0.00217627	0.00252977	0.00282816	0.00355735	0.0100354
d1_9	0.000332349	0.000413802	0.000543063	0.000733064	0.000995571	0.00121386	0.00148153	0.00177628	0.00227165	0.0031251	0.0126001
d1_10	9.43055e-05	0.000149944	0.000208947	0.000318243	0.000427998	0.000598356	0.000780439	0.00114426	0.00158545	0.00245939	0
