ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
19071	8015	33049	7328	1.08363e-04	7.80276e-05	-275538.104	-275382.871
19330	7478	32474	7655	1.09753e-04	9.11762e-05	-275538.392	-275382.871
18721	8137	30131	8268	1.18149e-04	7.75637e-05	-275539.304	-275382.871
19082	8188	32062	7508	1.18312e-04	7.26014e-05	-275540.183	-275382.871
19581	7825	32582	7225	1.10893e-04	8.07950e-05	-275540.239	-275382.871
18900	7990	31993	7632	1.06556e-04	8.14743e-05	-275541.080	-275382.871
19266	8201	31560	8156	1.13757e-04	7.40096e-05	-275542.373	-275382.871
18862	8195	29482	8794	1.15942e-04	7.67597e-05	-275543.329	-275382.871
19162	8463	32758	6745	1.14899e-04	6.43978e-05	-275543.585	-275382.871
19220	8650	31786	7403	1.13043e-04	6.30064e-05	-275544.625	-275382.871
