	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101134	0.0392984	0.0196433	0.0110644	0.00649938	0.00363466	0.00212695	0.00116987	0.000605956	0.000287916
d1_1	0.268006	0.0248893	0.015834	0.0116091	0.008376	0.00600456	0.00430964	0.00300304	0.00212276	0.00123626	0.000795634
d1_2	0.0826617	0.0145195	0.0102429	0.0083682	0.00691348	0.00558344	0.00450143	0.00343955	0.00257425	0.00189073	0.00141738
d1_3	0.0342348	0.00951714	0.0075413	0.00651577	0.00591455	0.00495289	0.00430803	0.00367309	0.00303001	0.00248222	0.00236156
d1_4	0.0162672	0.00651947	0.00551342	0.00512189	0.00480658	0.00456715	0.00410211	0.00389291	0.00330671	0.00291771	0.00321284
d1_5	0.0080776	0.00428877	0.00400733	0.00386181	0.00398986	0.00380811	0.00385685	0.00357108	0.00352233	0.00347915	0.00462459
d1_6	0.00389974	0.00266258	0.00273896	0.0031008	0.00311115	0.00328395	0.00335989	0.0034022	0.00349839	0.00377371	0.00617119
d1_7	0.00195358	0.00158946	0.00180462	0.00208252	0.00223148	0.0024904	0.00291011	0.00302785	0.0033293	0.0038081	0.00790404
d1_8	0.000807732	0.00086852	0.0010645	0.00127897	0.00157741	0.00186637	0.00222301	0.00249811	0.00281985	0.00359878	0.0102247
d1_9	0.000308871	0.000370796	0.00055918	0.000707001	0.000975891	0.00118515	0.00154233	0.00199817	0.0023485	0.00328733	0.0127116
d1_10	7.0002e-05	0.000118975	0.000167077	0.000277905	0.000369721	0.000575282	0.000802503	0.00107218	0.00159541	0.00238393	0
