	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.104287	0.0400292	0.020132	0.0111843	0.00645312	0.00371363	0.00201729	0.0010898	0.000551802	0.000263646
d1_1	0.269394	0.0239102	0.0157821	0.0115983	0.00848079	0.00617084	0.00436223	0.00303608	0.00194677	0.00114146	0.000745688
d1_2	0.0815084	0.0140375	0.0103645	0.00845336	0.0069507	0.00558423	0.00439879	0.00342702	0.00258137	0.00177358	0.00138869
d1_3	0.0338942	0.00930242	0.00747066	0.00656944	0.00569306	0.00511887	0.00440274	0.00376755	0.002946	0.0023856	0.00217489
d1_4	0.0158621	0.00613566	0.0054425	0.00533433	0.00489415	0.00452036	0.00426908	0.00370606	0.00331632	0.0027752	0.00326266
d1_5	0.00790243	0.00415963	0.00391088	0.00397069	0.00398141	0.00402823	0.00388359	0.00357921	0.00340963	0.00328995	0.00440072
d1_6	0.00413742	0.00256832	0.00276928	0.00292783	0.00323331	0.00332225	0.00345468	0.00356341	0.00346152	0.00344617	0.00590778
d1_7	0.00192955	0.00155367	0.00184442	0.00211315	0.00236106	0.00265783	0.00270195	0.00303021	0.00328082	0.00365617	0.00778243
d1_8	0.000857554	0.000806894	0.00108474	0.00132177	0.00153037	0.00187397	0.00221371	0.00261563	0.00293147	0.00360866	0.00989701
d1_9	0.000326679	0.00034416	0.000509736	0.000742119	0.000949473	0.001237	0.00155543	0.00194808	0.00236826	0.00309598	0.0125035
d1_10	7.11134e-05	0.000105624	0.000157616	0.000278543	0.00040124	0.000569564	0.000839081	0.00110938	0.00153314	0.00239064	0
