	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.103298	0.0395722	0.0194394	0.0106021	0.00587221	0.00337319	0.0018896	0.000996532	0.00051649	0.00023533
d1_1	0.262153	0.0256919	0.0166179	0.0116286	0.00835336	0.0059723	0.00419415	0.00280728	0.00194541	0.00115344	0.000683004
d1_2	0.0843599	0.0148527	0.0105853	0.0086672	0.00694368	0.00559999	0.00451106	0.00341198	0.00251255	0.00193286	0.0013854
d1_3	0.0354985	0.00964389	0.00753632	0.00658395	0.00570142	0.0050635	0.00435243	0.00375458	0.00297841	0.00247042	0.00228669
d1_4	0.0169028	0.00626203	0.00529527	0.00514652	0.00481139	0.00446101	0.00405364	0.00376331	0.00328928	0.00295915	0.00342751
d1_5	0.00814773	0.00413933	0.00379825	0.00398392	0.00396517	0.00390802	0.00381194	0.00375381	0.00343021	0.00346368	0.00488743
d1_6	0.00399608	0.00258149	0.00258398	0.00284712	0.00298306	0.00315531	0.00333998	0.00345434	0.00343092	0.00363585	0.00659239
d1_7	0.00186093	0.00150382	0.00169131	0.00199135	0.00223191	0.0024997	0.00275683	0.00299365	0.00336667	0.00396116	0.00834323
d1_8	0.00075919	0.000842027	0.000988141	0.00123559	0.00155698	0.00178466	0.00214823	0.0025009	0.00299438	0.00372425	0.0107172
d1_9	0.000271545	0.000348426	0.000503976	0.000650128	0.000881887	0.00113171	0.00143693	0.00185898	0.0024002	0.00326704	0.0135338
d1_10	5.74691e-05	9.0354e-05	0.000142175	0.000247541	0.000365048	0.000534815	0.000789684	0.00107026	0.00160181	0.00247314	0
