	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0998811	0.0389208	0.01963	0.0110107	0.00626651	0.00378203	0.00202707	0.00117866	0.000604444	0.000299576
d1_1	0.257943	0.025431	0.0160125	0.0115155	0.00832427	0.00618615	0.00435146	0.00305337	0.00199558	0.00132451	0.000796124
d1_2	0.0830903	0.0151443	0.0105093	0.00856886	0.00695622	0.00571446	0.00456087	0.00354899	0.00270192	0.00194602	0.00146273
d1_3	0.0352961	0.00994083	0.00763405	0.00670749	0.00597882	0.00513088	0.00448083	0.00372956	0.00306621	0.00250619	0.00225698
d1_4	0.0166888	0.00665561	0.00564072	0.00534636	0.00493819	0.00460418	0.00430955	0.00384199	0.00341448	0.00305804	0.00350601
d1_5	0.00840702	0.00435573	0.00398208	0.0040719	0.00389197	0.00408081	0.0037913	0.00375856	0.00354885	0.00344436	0.00475155
d1_6	0.0042268	0.00280641	0.00281989	0.00301964	0.00325216	0.00325124	0.00343119	0.00362505	0.00351512	0.00379033	0.00621897
d1_7	0.001906	0.00161023	0.00179367	0.00208384	0.00242328	0.00259736	0.00292604	0.00317281	0.00338681	0.00393528	0.00812447
d1_8	0.000870541	0.000903856	0.00115186	0.00129749	0.00167686	0.00196382	0.00222671	0.00259495	0.00298869	0.00390784	0.0104372
d1_9	0.000332347	0.000418641	0.000544057	0.000742075	0.000945783	0.00127039	0.00148455	0.00190627	0.00241818	0.0033779	0.0130325
d1_10	7.75618e-05	0.000104153	0.000198129	0.000271621	0.00043937	0.000583657	0.000845839	0.00118871	0.00168115	0.00264633	0
