	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.10134	0.0396899	0.020401	0.0113222	0.00672687	0.00375749	0.00221823	0.00124703	0.000670367	0.000308222
d1_1	0.260153	0.0258714	0.0161953	0.0113021	0.00842743	0.00609305	0.00454147	0.00309132	0.00211511	0.0012702	0.000804682
d1_2	0.0823906	0.0152876	0.0105597	0.00846196	0.00691136	0.00558737	0.00438015	0.00348829	0.00263432	0.00196506	0.00132177
d1_3	0.034648	0.0100446	0.0077214	0.00672456	0.00567349	0.00507553	0.0042722	0.00378153	0.00316284	0.00254543	0.00229104
d1_4	0.0166793	0.00677852	0.00563076	0.00520177	0.00481418	0.00444951	0.00415196	0.00378881	0.00330917	0.0029464	0.00320942
d1_5	0.0082476	0.004411	0.0040349	0.00407306	0.00391728	0.00397589	0.0037615	0.00373919	0.00339032	0.00340062	0.00445333
d1_6	0.00406646	0.00281406	0.00279026	0.00302704	0.00317484	0.00326295	0.00327549	0.00345102	0.00351968	0.00373006	0.00605019
d1_7	0.00203567	0.00172412	0.00194926	0.0021302	0.00228675	0.00256972	0.00276781	0.00308474	0.0033262	0.00379216	0.00765267
d1_8	0.000798747	0.00090145	0.00111854	0.00134297	0.00159674	0.00193339	0.00219005	0.00252314	0.00300491	0.0037186	0.00971049
d1_9	0.000324113	0.00038386	0.000567767	0.000772213	0.00101602	0.00122184	0.00151517	0.00183245	0.00242686	0.00334562	0.0124829
d1_10	9.19789e-05	0.000128717	0.000205291	0.000296919	0.000388087	0.000638851	0.000848223	0.00119201	0.00159879	0.0025619	0
