	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.100802	0.0393262	0.01982	0.0109182	0.00627005	0.00372392	0.00201283	0.0011719	0.000591694	0.000255873
d1_1	0.264495	0.0250979	0.0159638	0.0113781	0.00834729	0.0060633	0.0043816	0.00295252	0.00209673	0.00126968	0.000742167
d1_2	0.0827963	0.014794	0.0105315	0.00854673	0.00681071	0.00568981	0.00457433	0.00346152	0.00273548	0.00186733	0.00147661
d1_3	0.0343959	0.00987468	0.00751495	0.00658536	0.00569926	0.00516282	0.00432559	0.00373608	0.00310182	0.00250706	0.00228518
d1_4	0.0162542	0.00660092	0.00563528	0.00514225	0.00474387	0.00449356	0.0042278	0.00368903	0.00344766	0.0030849	0.00339106
d1_5	0.00810517	0.0043274	0.00402767	0.00397826	0.0040051	0.00383909	0.00380505	0.0036824	0.00355097	0.00343811	0.00460449
d1_6	0.00408078	0.00281833	0.00285185	0.00288123	0.00322916	0.00325281	0.00328824	0.00341187	0.00351165	0.00376746	0.00609406
d1_7	0.00194079	0.00162108	0.00184066	0.00210118	0.00226386	0.00262104	0.00278122	0.00314022	0.00328454	0.00393878	0.00799106
d1_8	0.000886086	0.000873422	0.00114182	0.00129257	0.00161631	0.00189831	0.00210488	0.00257263	0.00297066	0.00363902	0.0104102
d1_9	0.000290078	0.000391658	0.000576561	0.00069213	0.000952213	0.00120542	0.00145729	0.00185549	0.00235882	0.00320359	0.0130556
d1_10	6.03802e-05	0.000112723	0.000190829	0.000226829	0.000397023	0.000545123	0.00083695	0.00117727	0.0016315	0.00243689	0
